Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2019-20,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2020-21,21,NOP,NBA,SF,3,0,56,-0.9,.308,.615,.000,1.9,3.9,2.9,6.5,1.7,0.0,18.8,12.0,-0.1,0.0,-0.1,-0.099,-7.8,-1.8,-9.6,-0.1,
2021-22,22,2TM,NBA,SF,9,1,129,6.4,.517,.697,.061,4.1,10.6,7.2,5.3,0.8,1.5,12.9,13.0,0.0,0.0,0.0,-0.005,-4.1,-3.4,-7.5,-0.2,
2021-22,22,NOP,NBA,SF,2,0,7,-1.2,.000,1.000,.000,31.0,0.0,15.8,17.1,0.0,0.0,0.0,18.4,0.0,0.0,0.0,-0.238,-4.1,-8.4,-12.5,0.0,
2021-22,22,POR,NBA,SG,7,1,122,6.8,.567,.667,.067,2.6,11.2,6.8,4.7,0.8,1.6,13.9,12.7,0.0,0.0,0.0,.008,-4.1,-3.1,-7.2,-0.2,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,12,1,185,4.2,.459,.674,.043,3.5,8.6,5.9,5.7,1.0,1.1,14.6,12.7,-0.2,0.0,-0.1,-0.034,-5.2,-2.9,-8.1,-0.3,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,7,1264,4.2,.459,.674,.043,3.5,8.6,5.9,5.7,1.0,1.1,14.6,12.7,-1.2,0.3,-0.9,-0.034,-5.2,-2.9,-8.1,-2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,5,0,63,-0.9,.250,.688,.000,5.2,3.4,4.3,7.7,1.5,0.0,15.8,12.7,-0.2,0.0,-0.2,-0.115,-7.4,-2.5,-9.9,-0.1,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,7,1,122,6.8,.567,.667,.067,2.6,11.2,6.8,4.7,0.8,1.6,13.9,12.7,0.0,0.0,0.0,.008,-4.1,-3.1,-7.2,-0.2,
