"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2019-20,22,CHO,NBA,SF,16.0,0.0,293.0,0.0,0.0,38.0,62.0,0.0,-4.2,3.2,9.0,1.0,20.0,1.0,9.0,6.0,32.0,3.0,3.0,
2020-21,23,CHO,NBA,SF,47.0,18.0,904.0,0.0,0.0,65.0,35.0,0.0,-9.0,-9.2,17.0,10.0,44.0,7.0,33.0,6.0,135.0,9.0,23.0,
2021-22,24,CHO,NBA,SF,55.0,2.0,895.0,0.0,1.0,32.0,64.0,2.0,2.7,2.9,10.0,16.0,44.0,3.0,34.0,8.0,142.0,6.0,5.0,
2022-23,25,2TM,NBA,SF,80.0,24.0,1913.0,0.0,0.0,76.0,24.0,0.0,-2.8,1.1,35.0,29.0,99.0,15.0,72.0,15.0,312.0,22.0,39.0,
2022-23,25,CHO,NBA,SF,56.0,21.0,1494.0,0.0,0.0,80.0,20.0,0.0,-5.1,1.1,31.0,27.0,80.0,12.0,55.0,13.0,270.0,17.0,34.0,
2022-23,25,PHI,NBA,SF,24.0,3.0,419.0,0.0,1.0,65.0,35.0,0.0,5.4,0.7,4.0,2.0,19.0,3.0,17.0,2.0,42.0,5.0,5.0,
2023-24,26,TOR,NBA,SF,50.0,1.0,538.0,0.0,2.0,19.0,66.0,12.0,-14.4,-9.2,14.0,11.0,25.0,3.0,19.0,2.0,90.0,5.0,18.0,
2024-25,27,WAS,NBA,SF,4.0,0.0,7.0,0.0,0.0,60.0,33.0,7.0,15.1,27.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,252.0,45.0,4550.0,0.0,1.0,56.0,41.0,2.0,-4.4,-1.7,85.0,67.0,232.0,29.0,167.0,37.0,714.0,45.0,88.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,15.0,1481.0,0.0,1.0,56.0,41.0,2.0,-4.4,-1.7,28.0,22.0,75.0,9.0,54.0,12.0,232.0,15.0,29.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CHO (4 Yrs),CHO (4 Yrs),CHO (4 Yrs),CHO (4 Yrs),,174.0,41.0,3586.0,0.0,0.0,61.0,38.0,1.0,-4.1,-0.9,67.0,54.0,188.0,23.0,131.0,33.0,579.0,35.0,65.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,50.0,1.0,538.0,0.0,2.0,19.0,66.0,12.0,-14.4,-9.2,14.0,11.0,25.0,3.0,19.0,2.0,90.0,5.0,18.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,24.0,3.0,419.0,0.0,1.0,65.0,35.0,0.0,5.4,0.7,4.0,2.0,19.0,3.0,17.0,2.0,42.0,5.0,5.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,4.0,0.0,7.0,0.0,0.0,60.0,33.0,7.0,15.1,27.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
