Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2020-21,22,MEM,NBA,SG,68.0,17.0,1519.0,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5,
2021-22,23,MEM,NBA,SG,76.0,76.0,2266.0,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,4.5,2.7,7.2,0.153,2.5,0.3,2.7,2.7,
2022-23,24,MEM,NBA,SG,58.0,58.0,1841.0,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,
2023-24,25,MEM,NBA,SG,42.0,42.0,1443.0,18.5,0.589,0.464,0.207,2.6,11.8,7.0,29.2,1.5,1.4,11.7,28.5,1.8,1.3,3.1,0.102,3.1,-0.3,2.8,1.7,
2024-25,26,MEM,NBA,SG,69.0,68.0,2205.0,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9,
2025-26,27,ORL,NBA,SG,21.0,21.0,688.0,15.8,0.572,0.337,0.292,4.4,11.2,7.8,21.0,1.2,0.9,11.8,24.2,1.0,0.7,1.7,0.118,0.6,-0.5,0.1,0.4,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,334.0,282.0,9962.0,17.1,0.596,0.449,0.185,2.6,13.9,8.2,19.5,1.6,1.1,11.1,23.5,16.3,11.0,27.2,0.131,2.1,0.1,2.3,10.7,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,69.0,2446.0,17.1,0.596,0.449,0.185,2.6,13.9,8.2,19.5,1.6,1.1,11.1,23.5,4.0,2.7,6.7,0.131,2.1,0.1,2.3,2.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (5 Yrs),MEM (5 Yrs),MEM (5 Yrs),MEM (5 Yrs),,313.0,261.0,9274.0,17.2,0.597,0.457,0.177,2.5,14.1,8.2,19.4,1.6,1.1,11.0,23.4,15.3,10.3,25.5,0.132,2.3,0.2,2.4,10.4,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,21.0,21.0,688.0,15.8,0.572,0.337,0.292,4.4,11.2,7.8,21.0,1.2,0.9,11.8,24.2,1.0,0.7,1.7,0.118,0.6,-0.5,0.1,0.4,
