Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,22,TOR,NBA,PG,47.0,14.0,928.0,6.6,17.7,0.374,2.8,8.8,0.321,3.8,9.0,0.424,0.453,2.3,2.9,0.804,0.5,5.5,6.0,7.1,2.0,0.4,2.2,3.5,18.4,103.0,114.0,
2021-22,23,TOR,NBA,PG,44.0,5.0,537.0,6.7,17.0,0.393,2.8,8.4,0.333,3.9,8.7,0.452,0.475,1.4,2.2,0.625,0.9,4.9,5.9,6.5,1.9,0.4,1.2,4.2,17.6,113.0,112.0,
2022-23,24,TOR,NBA,PG,53.0,2.0,691.0,6.2,17.3,0.36,3.4,9.5,0.353,2.9,7.8,0.367,0.457,1.8,2.4,0.758,1.1,4.4,5.4,5.0,1.5,0.3,1.8,4.7,17.6,105.0,117.0,
2023-24,25,3TM,NBA,PG,69.0,0.0,876.0,7.5,17.9,0.418,3.1,9.3,0.331,4.4,8.6,0.513,0.505,2.9,3.9,0.732,1.2,5.1,6.3,7.2,2.1,0.4,3.5,3.6,21.0,105.0,119.0,
2023-24,25,TOR,NBA,PG,31.0,0.0,474.0,5.7,14.0,0.409,2.9,8.2,0.35,2.9,5.8,0.491,0.511,1.7,2.2,0.773,1.3,5.3,6.6,7.4,1.8,0.6,3.4,4.3,16.0,105.0,119.0,
2023-24,25,NYK,NBA,PG,14.0,0.0,60.0,7.6,19.3,0.391,3.4,10.9,0.308,4.2,8.4,0.5,0.478,7.6,9.2,0.818,0.0,5.0,5.0,5.0,0.8,0.0,2.5,2.5,26.1,116.0,117.0,
2023-24,25,DET,NBA,PG,24.0,0.0,342.0,10.0,23.2,0.43,3.4,10.7,0.316,6.6,12.5,0.528,0.503,3.7,5.3,0.684,1.1,4.9,6.0,7.2,2.7,0.3,3.8,3.0,27.0,104.0,118.0,
2024-25,26,CHO,NBA,PG,4.0,0.0,44.0,5.6,14.5,0.385,1.1,4.5,0.25,4.5,10.1,0.444,0.423,5.6,6.7,0.833,3.4,4.5,7.8,7.8,3.4,0.0,4.5,4.5,17.9,105.0,115.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,217.0,21.0,3076.0,6.8,17.5,0.387,3.0,9.0,0.333,3.8,8.6,0.443,0.472,2.3,3.0,0.747,0.9,5.0,6.0,6.6,1.9,0.4,2.4,3.9,18.8,106.0,116.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (4 Yrs),TOR (4 Yrs),TOR (4 Yrs),TOR (4 Yrs),,175.0,21.0,2630.0,6.4,16.8,0.379,3.0,8.8,0.338,3.4,8.0,0.425,0.467,1.9,2.5,0.756,0.9,5.1,6.0,6.5,1.8,0.4,2.1,4.1,17.6,106.0,115.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,24.0,0.0,342.0,10.0,23.2,0.43,3.4,10.7,0.316,6.6,12.5,0.528,0.503,3.7,5.3,0.684,1.1,4.9,6.0,7.2,2.7,0.3,3.8,3.0,27.0,104.0,118.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,14.0,0.0,60.0,7.6,19.3,0.391,3.4,10.9,0.308,4.2,8.4,0.5,0.478,7.6,9.2,0.818,0.0,5.0,5.0,5.0,0.8,0.0,2.5,2.5,26.1,116.0,117.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,4.0,0.0,44.0,5.6,14.5,0.385,1.1,4.5,0.25,4.5,10.1,0.444,0.423,5.6,6.7,0.833,3.4,4.5,7.8,7.8,3.4,0.0,4.5,4.5,17.9,105.0,115.0,
