"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Aaron Nesmith,,4.1,2.9,2.0,1.1,0.4,,,,,,,
Eddie Robinson,92.8,4.0,3.0,2.2,0.8,0.2,,,,,,,
Jaren Jackson,90.2,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Al Smith,89.2,4.5,3.3,1.8,0.9,0.6,,,,,,,
Sonny Hertzberg,88.2,4.0,2.5,2.3,1.4,0.7,,,,,,,
Corey Kispert,86.1,3.8,2.3,2.1,1.1,,,,,,,,
Ron Lee,84.1,3.8,2.8,1.6,1.4,0.8,0.3,,,,,,
Ken Charles,83.5,3.3,3.0,2.3,0.6,0.6,,,,,,,
Bill Gabor,83.2,3.5,2.9,2.8,1.5,0.5,0.0,,,,,,
Amir Coffey,83.0,4.0,3.8,2.6,0.7,0.4,0.1,,,,,,
Lee Winfield,82.2,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,,,,
