"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Immanuel Quickley,,6.7,4.7,4.2,3.2,2.5,,,,,,,
Grayson Allen,89.6,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,,,
Lewis Lloyd,89.1,6.3,4.7,4.6,2.6,1.6,0.1,0.0,,,,,
Scottie Barnes,87.0,6.6,5.0,4.3,3.5,,,,,,,,
Ted McClain,86.3,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,,,
Donte DiVincenzo,85.8,6.6,4.3,4.2,3.9,3.6,0.7,0.6,,,,,
Vincent Askew,85.4,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,,,
Ja Morant,85.1,6.7,6.0,3.8,3.5,3.2,0.8,,,,,,
Gene Littles,84.8,7.7,4.8,4.2,3.6,1.6,1.4,,,,,,
Mike James,84.3,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Larry Brown,84.2,6.6,5.8,5.1,5.0,2.4,,,,,,,
