"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2021-22,19,OKC,NBA,SF,54.0,54.0,1700.0,0.0,5.0,66.0,29.0,0.0,-8.5,-0.3,106.0,38.0,42.0,8.0,34.0,4.0,823.0,6.0,48.0,
2022-23,20,OKC,NBA,PF,76.0,76.0,2367.0,0.0,1.0,17.0,67.0,15.0,-2.7,-9.5,127.0,57.0,85.0,12.0,81.0,1.0,1119.0,31.0,83.0,
2023-24,21,OKC,NBA,SG,80.0,80.0,2011.0,1.0,60.0,34.0,5.0,0.0,8.2,0.5,92.0,50.0,63.0,12.0,63.0,3.0,915.0,21.0,70.0,
2024-25,22,CHI,NBA,PG,70.0,69.0,2117.0,70.0,29.0,1.0,0.0,0.0,-1.0,0.4,140.0,44.0,78.0,4.0,107.0,4.0,1223.0,21.0,66.0,
2025-26,23,CHI,NBA,PG,18.0,18.0,613.0,54.0,45.0,1.0,0.0,0.0,-0.6,6.8,46.0,11.0,23.0,2.0,48.0,4.0,407.0,5.0,18.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,298.0,297.0,8808.0,21.0,25.0,25.0,25.0,4.0,-0.8,-1.9,511.0,200.0,291.0,38.0,333.0,16.0,4487.0,84.0,285.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2424.0,21.0,25.0,25.0,25.0,4.0,-0.8,-1.9,141.0,55.0,80.0,10.0,92.0,4.0,1235.0,23.0,78.0,
,,,,,,,,,,,,,,,,,,,,,,,,
OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),,210.0,210.0,6078.0,0.0,22.0,36.0,36.0,6.0,-0.7,-3.6,325.0,145.0,190.0,32.0,178.0,8.0,2857.0,58.0,201.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,88.0,87.0,2730.0,67.0,32.0,1.0,0.0,0.0,-0.9,1.9,186.0,55.0,101.0,6.0,155.0,8.0,1630.0,26.0,84.0,
