"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Moses Moody,,3.5,2.4,1.3,1.3,,,
Khalid Reeves,95.4,3.5,2.5,1.2,1.1,0.1,0.0,
Jerian Grant,86.7,3.3,2.5,1.7,0.8,0.0,,
Roger Phegley,86.3,3.7,2.6,1.6,0.8,0.0,-0.1,
Corey Kispert,84.3,3.8,2.3,2.1,1.1,,,
Jevon Carter,82.9,3.5,1.8,1.6,1.2,0.3,0.2,0.0
Jim Les,81.3,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Rick Adelman,80.2,3.4,2.2,1.6,1.3,0.7,0.7,0.1
Al Ferrari,79.7,3.3,1.9,1.4,1.4,0.9,0.0,
Ron Lee,79.2,3.8,2.8,1.6,1.4,0.8,0.3,
Larry Wright,79.0,3.5,2.7,1.8,1.4,1.2,0.0,
