"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2000-01,21,MIL,NBA,SG,6.0,0.0,35.0,0.0,18.0,82.0,0.0,0.0,-10.9,-15.1,0.0,0.0,1.0,0.0,2.0,,3.0,0.0,5.0,
2001-02,22,MIL,NBA,SG,67.0,8.0,1417.0,3.0,75.0,22.0,1.0,0.0,2.0,3.4,26.0,11.0,42.0,12.0,49.0,,204.0,9.0,32.0,
2002-03,23,MIL,NBA,SG,82.0,14.0,2316.0,2.0,53.0,45.0,0.0,0.0,2.4,4.6,35.0,23.0,54.0,13.0,73.0,,267.0,20.0,43.0,6MOY-2
2003-04,24,MIL,NBA,SG,82.0,82.0,3021.0,0.0,94.0,6.0,0.0,0.0,-1.1,-10.4,43.0,48.0,42.0,17.0,157.0,,407.0,37.0,70.0,"MVP-14,AS,NBA3"
2004-05,25,MIL,NBA,SG,75.0,75.0,2848.0,0.0,85.0,14.0,0.0,0.0,-3.6,-1.4,45.0,44.0,37.0,32.0,150.0,,369.0,36.0,69.0,
2005-06,26,MIL,NBA,SG,80.0,80.0,3130.0,0.0,71.0,29.0,0.0,0.0,0.9,10.4,64.0,58.0,47.0,27.0,206.0,6.0,507.0,47.0,84.0,
2006-07,27,MIL,NBA,SF,53.0,53.0,2036.0,0.0,3.0,68.0,29.0,0.0,-0.3,9.1,33.0,39.0,30.0,23.0,167.0,9.0,279.0,51.0,67.0,
2007-08,28,MIL,NBA,SG,72.0,71.0,2702.0,0.0,77.0,24.0,0.0,0.0,-7.5,0.1,84.0,52.0,39.0,21.0,185.0,6.0,547.0,50.0,74.0,
2008-09,29,MIL,NBA,SG,33.0,32.0,1203.0,0.0,77.0,22.0,1.0,0.0,4.3,8.1,23.0,14.0,12.0,5.0,56.0,7.0,199.0,13.0,15.0,
2009-10,30,MIL,NBA,SG,18.0,12.0,492.0,0.0,61.0,39.0,1.0,0.0,-10.7,-14.5,7.0,5.0,9.0,2.0,28.0,2.0,90.0,7.0,21.0,
2010-11,31,MIL,NBA,SG,10.0,0.0,134.0,0.0,90.0,10.0,0.0,0.0,4.7,5.8,2.0,0.0,2.0,2.0,2.0,0.0,27.0,0.0,0.0,
2011-12,32,PHO,NBA,SG,51.0,2.0,770.0,0.0,63.0,37.0,0.0,0.0,-8.3,-10.5,18.0,11.0,8.0,3.0,50.0,2.0,78.0,12.0,16.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,629.0,429.0,20104.0,0.0,68.0,28.0,3.0,0.0,-1.5,1.3,380.0,305.0,323.0,157.0,1125.0,32.0,2977.0,282.0,496.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,56.0,2621.0,0.0,68.0,28.0,3.0,0.0,-1.5,1.3,50.0,40.0,42.0,20.0,147.0,,388.0,37.0,65.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIL (11 Yrs),MIL (11 Yrs),MIL (11 Yrs),MIL (11 Yrs),,578.0,427.0,19334.0,0.0,69.0,28.0,3.0,0.0,-1.2,1.8,362.0,294.0,315.0,154.0,1075.0,30.0,2899.0,270.0,480.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,51.0,2.0,770.0,0.0,63.0,37.0,0.0,0.0,-8.3,-10.5,18.0,11.0,8.0,3.0,50.0,2.0,78.0,12.0,16.0,
