"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2004-05,23,PHI,NBA,C,5.0,5.0,192.0,0.0,0.0,0.0,0.0,100.0,-8.8,-2.8,2.0,4.0,8.0,1.0,7.0,,4.0,1.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,PHI,NBA,C,6.0,6.0,193.0,0.0,0.0,0.0,0.0,100.0,-14.4,-17.2,4.0,0.0,7.0,1.0,9.0,2.0,6.0,1.0,4.0,
2008-09,27,PHI,NBA,C,6.0,6.0,133.0,0.0,0.0,0.0,0.0,100.0,-17.8,-14.9,1.0,4.0,10.0,1.0,1.0,2.0,7.0,0.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,31,MIL,NBA,C,1.0,0.0,9.0,0.0,0.0,0.0,0.0,100.0,-31.1,-15.5,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,
2013-14,32,DAL,NBA,C,7.0,7.0,135.0,0.0,0.0,0.0,0.0,100.0,-11.5,-14.7,1.0,2.0,8.0,1.0,7.0,0.0,0.0,1.0,6.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,24.0,662.0,0.0,0.0,0.0,0.0,100.0,-13.1,-12.0,10.0,10.0,36.0,4.0,26.0,4.0,17.0,3.0,16.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,79.0,2171.0,0.0,0.0,0.0,0.0,100.0,-13.1,-12.0,33.0,33.0,118.0,13.0,85.0,,56.0,10.0,52.0,
,,,,,,,,,,,,,,,,,,,,,,,,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,17.0,17.0,518.0,0.0,0.0,0.0,0.0,100.0,-13.2,-11.3,7.0,8.0,25.0,3.0,17.0,4.0,17.0,2.0,10.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,7.0,7.0,135.0,0.0,0.0,0.0,0.0,100.0,-11.5,-14.7,1.0,2.0,8.0,1.0,7.0,0.0,0.0,1.0,6.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,1.0,0.0,9.0,0.0,0.0,0.0,0.0,100.0,-31.1,-15.5,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,
