"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2001-02,23.0,NJN,NBA,30:50,6.0,11.0,1.0,2.0,6.0,10.0,4.0,5.0,3.0,6.0,9.0,4.0,2.0,1.0,3.0,5.0,16.0,13.4
2002-03,24.0,NJN,NBA,41:48,7.0,10.0,3.0,4.0,6.0,8.0,5.0,6.0,7.0,8.0,10.0,5.0,2.0,2.0,3.0,5.0,16.0,12.8
2003-04,25.0,NJN,NBA,33:51,6.0,11.0,1.0,3.0,6.0,9.0,8.0,8.0,4.0,7.0,9.0,4.0,2.0,2.0,3.0,5.0,15.0,16.7
2004-05,26.0,NJN,NBA,44:35,12.0,17.0,3.0,6.0,12.0,16.0,7.0,8.0,4.0,9.0,11.0,5.0,3.0,2.0,4.0,6.0,29.0,27.2
2005-06,27.0,BOS,NBA,33:58,5.0,9.0,3.0,6.0,2.0,5.0,5.0,6.0,2.0,7.0,7.0,4.0,2.0,2.0,3.0,5.0,14.0,13.3
2006-07,28.0,BOS,NBA,40:28,5.0,10.0,4.0,9.0,3.0,6.0,4.0,4.0,2.0,6.0,8.0,5.0,2.0,3.0,3.0,6.0,17.0,14.2
2007-08,29.0,BOS,NBA,29:05,4.0,9.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,2.0,2.0,2.0,5.0,9.0,6.5
2008-09,30.0,BOS,NBA,37:15,5.0,9.0,3.0,7.0,4.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,6.0,14.0,9.9
2009-10,31.0,BOS,NBA,29:49,4.0,11.0,3.0,7.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,6.0,11.0,8.4
2010-11,32.0,CHI,NBA,20:26,3.0,4.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,6.3
2011-12,33.0,CHI,NBA,22:52,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,5.6
Career,,,,44:35,12.0,17.0,4.0,9.0,12.0,16.0,8.0,8.0,7.0,9.0,11.0,5.0,3.0,3.0,4.0,6.0,29.0,27.2
,,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,BOS,NBA,40:28,5.0,11.0,4.0,9.0,4.0,6.0,5.0,6.0,3.0,7.0,8.0,5.0,3.0,3.0,3.0,6.0,17.0,14.2
4 Seasons,,NJN,NBA,44:35,12.0,17.0,3.0,6.0,12.0,16.0,8.0,8.0,7.0,9.0,11.0,5.0,3.0,2.0,4.0,6.0,29.0,27.2
2 Seasons,,CHI,NBA,22:52,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,6.0,6.3
