"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2006-07,27,GSW,NBA,WC1,DAL,W (4-2),6.0,29.0,10.2,5.5,3.0,1.0,0.3,23.0,51.0,0.451,8.0,20.0,0.4,15.0,31.0,0.484,0.529,7.0,9.0,0.778,13.0,20.0,33.0,18.0,6.0,2.0,7.0,26.0,61.0,
2006-07,27,GSW,NBA,WCS,UTA,L (1-4),5.0,31.2,12.2,6.0,1.6,2.0,0.4,22.0,49.0,0.449,11.0,25.0,0.44,11.0,24.0,0.458,0.561,6.0,9.0,0.667,13.0,17.0,30.0,8.0,10.0,2.0,13.0,18.0,61.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,30,ORL,NBA,EC1,CHA,W (4-0),4.0,27.0,8.5,5.3,2.0,1.5,0.0,9.0,25.0,0.36,5.0,11.0,0.455,4.0,14.0,0.286,0.46,11.0,12.0,0.917,6.0,15.0,21.0,8.0,6.0,0.0,4.0,6.0,34.0,
2009-10,30,ORL,NBA,ECS,ATL,W (4-0),4.0,22.5,6.3,4.3,1.3,0.5,0.5,10.0,21.0,0.476,1.0,7.0,0.143,9.0,14.0,0.643,0.5,4.0,4.0,1.0,4.0,13.0,17.0,5.0,2.0,2.0,1.0,10.0,25.0,
2009-10,30,ORL,NBA,ECF,BOS,L (2-4),6.0,21.2,5.0,4.7,1.0,0.3,0.2,11.0,29.0,0.379,6.0,14.0,0.429,5.0,15.0,0.333,0.483,2.0,4.0,0.5,6.0,22.0,28.0,6.0,2.0,1.0,5.0,12.0,30.0,
2010-11,31,LAL,NBA,WC1,NOH,W (4-2),6.0,13.7,3.8,2.5,0.3,1.0,0.2,9.0,21.0,0.429,2.0,6.0,0.333,7.0,15.0,0.467,0.476,3.0,6.0,0.5,6.0,9.0,15.0,2.0,6.0,1.0,3.0,15.0,23.0,
2010-11,31,LAL,NBA,WCS,DAL,L (0-4),4.0,12.3,3.3,3.3,0.8,0.3,0.3,6.0,17.0,0.353,0.0,6.0,0.0,6.0,11.0,0.545,0.353,1.0,1.0,1.0,5.0,8.0,13.0,3.0,1.0,1.0,3.0,8.0,13.0,
2011-12,32,LAL,NBA,WC1,DEN,W (4-3),7.0,19.9,4.4,4.0,2.0,1.0,0.7,13.0,49.0,0.265,3.0,25.0,0.12,10.0,24.0,0.417,0.296,2.0,4.0,0.5,8.0,20.0,28.0,14.0,7.0,5.0,11.0,18.0,31.0,
2011-12,32,LAL,NBA,WCS,OKC,L (1-4),4.0,11.5,2.0,2.0,0.5,0.8,0.0,3.0,10.0,0.3,2.0,6.0,0.333,1.0,4.0,0.25,0.4,0.0,0.0,,1.0,7.0,8.0,2.0,3.0,0.0,4.0,11.0,8.0,
2012-13,33,LAC,NBA,WC1,MEM,L (2-4),6.0,27.0,11.8,5.0,0.5,0.7,0.3,24.0,44.0,0.545,7.0,17.0,0.412,17.0,27.0,0.63,0.625,16.0,19.0,0.842,7.0,23.0,30.0,3.0,4.0,2.0,5.0,23.0,71.0,
2013-14,34,LAC,NBA,WC1,GSW,W (4-3),7.0,28.9,8.9,4.4,1.9,0.9,0.0,22.0,48.0,0.458,8.0,25.0,0.32,14.0,23.0,0.609,0.542,10.0,13.0,0.769,14.0,17.0,31.0,13.0,6.0,0.0,10.0,20.0,62.0,
2013-14,34,LAC,NBA,WCS,OKC,L (2-4),6.0,33.7,10.0,4.5,1.7,1.0,0.5,23.0,59.0,0.39,11.0,35.0,0.314,12.0,24.0,0.5,0.483,3.0,6.0,0.5,8.0,19.0,27.0,10.0,6.0,3.0,7.0,21.0,60.0,
2014-15,35,LAC,NBA,WC1,SAS,W (4-3),7.0,28.1,7.6,5.0,0.9,1.7,0.7,20.0,49.0,0.408,10.0,29.0,0.345,10.0,20.0,0.5,0.51,3.0,7.0,0.429,11.0,24.0,35.0,6.0,12.0,5.0,8.0,25.0,53.0,
2014-15,35,LAC,NBA,WCS,HOU,L (3-4),7.0,30.1,7.7,5.1,2.3,1.1,0.7,18.0,51.0,0.353,6.0,31.0,0.194,12.0,20.0,0.6,0.412,12.0,13.0,0.923,5.0,31.0,36.0,16.0,8.0,5.0,8.0,29.0,54.0,
2015-16,36,MEM,NBA,WC1,SAS,L (0-4),4.0,34.8,10.8,7.3,2.8,1.0,0.3,16.0,46.0,0.348,3.0,18.0,0.167,13.0,28.0,0.464,0.38,8.0,10.0,0.8,5.0,24.0,29.0,11.0,4.0,1.0,13.0,13.0,43.0,
2016-17,37,GSW,NBA,WCS,UTA,W (4-0),3.0,6.3,0.7,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,4.0,2.0,
2016-17,37,GSW,NBA,WCF,SAS,W (4-0),4.0,8.3,1.0,1.3,0.5,0.5,0.0,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,0.222,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,0.0,1.0,4.0,4.0,
2016-17,37,GSW,NBA,FIN,CLE,W (4-1),5.0,1.8,0.6,0.2,0.4,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,
9 Yrs (18 Series),9 Yrs (18 Series),9 Yrs (18 Series),9 Yrs (18 Series),9 Yrs (18 Series),9 Yrs (18 Series),10-8,95.0,22.6,6.7,4.1,1.4,0.9,0.3,233.0,584.0,0.399,84.0,283.0,0.297,149.0,301.0,0.495,0.471,88.0,117.0,0.752,112.0,278.0,390.0,132.0,85.0,30.0,105.0,264.0,638.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (7 Series),WC1 (7 Series),WC1 (7 Series),WC1 (7 Series),WC1 (7 Series),WC1 (7 Series),5-2,43.0,25.5,8.0,4.7,1.6,1.0,0.4,127.0,308.0,0.412,41.0,140.0,0.293,86.0,168.0,0.512,0.479,49.0,68.0,0.721,64.0,137.0,201.0,67.0,45.0,16.0,57.0,140.0,344.0,
EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),1-0,4.0,27.0,8.5,5.3,2.0,1.5,0.0,9.0,25.0,0.36,5.0,11.0,0.455,4.0,14.0,0.286,0.46,11.0,12.0,0.917,6.0,15.0,21.0,8.0,6.0,0.0,4.0,6.0,34.0,
WCS (6 Series),WCS (6 Series),WCS (6 Series),WCS (6 Series),WCS (6 Series),WCS (6 Series),1-5,29.0,23.6,6.8,4.0,1.4,1.0,0.4,73.0,189.0,0.386,30.0,104.0,0.288,43.0,85.0,0.506,0.466,22.0,29.0,0.759,32.0,85.0,117.0,42.0,28.0,11.0,36.0,91.0,198.0,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),1-0,4.0,22.5,6.3,4.3,1.3,0.5,0.5,10.0,21.0,0.476,1.0,7.0,0.143,9.0,14.0,0.643,0.5,4.0,4.0,1.0,4.0,13.0,17.0,5.0,2.0,2.0,1.0,10.0,25.0,
WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),1-0,4.0,8.3,1.0,1.3,0.5,0.5,0.0,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,0.222,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,0.0,1.0,4.0,4.0,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),0-1,6.0,21.2,5.0,4.7,1.0,0.3,0.2,11.0,29.0,0.379,6.0,14.0,0.429,5.0,15.0,0.333,0.483,2.0,4.0,0.5,6.0,22.0,28.0,6.0,2.0,1.0,5.0,12.0,30.0,
FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),1-0,5.0,1.8,0.6,0.2,0.4,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,
