"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2006-07,25,UTA,NBA,PF,17.0,17.0,654.0,0.0,0.0,0.0,85.0,15.0,0.9,-1.7,16.0,15.0,29.0,11.0,46.0,0.0,106.0,13.0,21.0,
2007-08,26,UTA,NBA,PF,12.0,12.0,441.0,0.0,0.0,0.0,78.0,22.0,0.3,1.5,13.0,13.0,26.0,5.0,28.0,1.0,74.0,4.0,20.0,
2008-09,27,UTA,NBA,PF,5.0,5.0,186.0,0.0,0.0,0.0,30.0,70.0,-10.3,-2.1,7.0,5.0,12.0,2.0,16.0,0.0,23.0,1.0,5.0,
2009-10,28,UTA,NBA,PF,10.0,10.0,402.0,0.0,0.0,0.0,36.0,64.0,-4.1,-14.4,9.0,11.0,21.0,1.0,13.0,0.0,70.0,3.0,15.0,
2010-11,29,CHI,NBA,C,16.0,16.0,507.0,0.0,0.0,0.0,89.0,11.0,4.4,-0.2,7.0,8.0,18.0,10.0,28.0,0.0,67.0,6.0,23.0,
2011-12,30,CHI,NBA,PF,6.0,6.0,200.0,0.0,0.0,0.0,72.0,28.0,-3.5,-4.7,4.0,12.0,12.0,3.0,4.0,1.0,39.0,3.0,8.0,
2012-13,31,CHI,NBA,PF,12.0,12.0,431.0,0.0,0.0,0.0,85.0,15.0,-7.4,-1.1,11.0,6.0,16.0,9.0,21.0,0.0,40.0,3.0,11.0,
2013-14,32,CHI,NBA,PF,5.0,5.0,121.0,0.0,0.0,0.0,76.0,25.0,-15.9,-20.9,2.0,2.0,5.0,2.0,4.0,0.0,11.0,1.0,7.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,83.0,83.0,2942.0,0.0,0.0,0.0,73.0,27.0,-2.2,-3.6,69.0,72.0,139.0,43.0,160.0,2.0,430.0,34.0,110.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2907.0,0.0,0.0,0.0,73.0,27.0,-2.2,-3.6,68.0,71.0,137.0,42.0,158.0,2.0,425.0,34.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,44.0,44.0,1683.0,0.0,0.0,0.0,65.0,35.0,-1.7,-4.0,45.0,44.0,88.0,19.0,103.0,1.0,273.0,21.0,61.0,
CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,39.0,39.0,1259.0,0.0,0.0,0.0,83.0,17.0,-2.8,-3.2,24.0,28.0,51.0,24.0,57.0,1.0,157.0,13.0,49.0,
