"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2004-05,23,CLE,NBA,SF,10.0,0.0,43.0,0.37,0.286,0.667,0.444,0.833,0.489,0.222,0.222,83.0,61.0,188.0,92.0,110.0,92.0,69.0,113.0,-2.0,-2.4,
2005-06,24,CLE,NBA,SF,36.0,0.0,315.0,0.341,0.347,0.333,0.412,0.788,0.482,0.388,0.424,75.0,73.0,93.0,84.0,106.0,90.0,117.0,209.0,-13.3,-10.6,
2006-07,25,2TM,NBA,SF,13.0,2.0,138.0,0.442,0.538,0.294,0.5,0.556,0.511,0.209,0.395,96.0,111.0,82.0,101.0,74.0,94.0,64.0,186.0,0.4,-2.9,
2006-07,25,LAC,NBA,SF,3.0,0.0,16.0,0.125,0.0,0.25,0.188,,0.188,0.0,0.5,27.0,0.0,70.0,38.0,,35.0,0.0,235.0,-4.9,-5.7,
2006-07,25,TOR,NBA,SF,10.0,2.0,122.0,0.514,0.636,0.308,0.571,0.556,0.578,0.257,0.371,112.0,131.0,86.0,115.0,74.0,107.0,79.0,175.0,5.3,2.8,
2007-08,26,MIA,NBA,SF,14.0,1.0,228.0,0.325,0.3,0.367,0.394,0.696,0.438,0.288,0.375,71.0,62.0,101.0,79.0,92.0,81.0,94.0,169.0,-16.6,-18.4,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,73.0,3.0,724.0,0.357,0.356,0.36,0.426,0.732,0.473,0.302,0.379,79.0,74.0,100.0,86.0,98.0,88.0,94.0,180.0,-31.5,-34.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,46.0,0.0,358.0,0.348,0.329,0.381,0.42,0.795,0.484,0.348,0.375,77.0,69.0,107.0,86.0,106.0,91.0,105.0,186.0,-15.3,-13.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,14.0,1.0,228.0,0.325,0.3,0.367,0.394,0.696,0.438,0.288,0.375,71.0,62.0,101.0,79.0,92.0,81.0,94.0,169.0,-16.6,-18.4,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,10.0,2.0,122.0,0.514,0.636,0.308,0.571,0.556,0.578,0.257,0.371,112.0,131.0,86.0,115.0,74.0,107.0,79.0,175.0,5.3,2.8,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,3.0,0.0,16.0,0.125,0.0,0.25,0.188,,0.188,0.0,0.5,27.0,0.0,70.0,38.0,,35.0,0.0,235.0,-4.9,-5.7,
