Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,21,PHI,NBA,PG,6.0,0.0,135.0,9.9,24.8,0.4,0.8,3.7,0.222,9.1,21.1,0.431,0.417,9.1,12.4,0.733,1.2,3.7,5.0,5.0,2.5,0.0,2.9,4.5,29.8,106.0,109.0,
2008-09,22,PHI,NBA,SG,6.0,0.0,149.0,7.7,18.7,0.412,2.2,5.9,0.375,5.5,12.8,0.429,0.471,3.7,5.5,0.667,0.7,4.8,5.5,6.2,1.1,0.4,4.4,3.7,21.2,94.0,112.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,24,PHI,NBA,SG,5.0,0.0,130.0,7.3,22.3,0.327,2.6,8.6,0.3,4.7,13.7,0.344,0.385,6.0,8.2,0.737,0.0,3.4,3.4,6.4,2.1,0.0,1.7,2.6,23.2,97.0,112.0,
2011-12,25,PHI,NBA,PG,13.0,0.0,358.0,7.6,21.5,0.352,1.2,7.3,0.167,6.4,14.2,0.447,0.38,6.2,7.9,0.788,0.5,3.6,4.1,5.9,2.0,0.0,2.4,2.6,22.6,95.0,101.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,27,ATL,NBA,PG,7.0,0.0,133.0,7.6,19.9,0.38,2.0,6.4,0.313,5.6,13.5,0.412,0.43,6.0,6.4,0.938,0.0,6.4,6.4,3.2,2.8,0.4,5.2,4.0,23.1,88.0,101.0,
2014-15,28,TOR,NBA,SG,4.0,0.0,102.0,8.0,25.4,0.314,2.0,10.5,0.19,6.0,14.9,0.4,0.353,7.5,9.0,0.833,1.0,2.5,3.5,2.5,3.0,0.0,1.5,4.5,25.4,91.0,114.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,30,HOU,NBA,SG,11.0,0.0,272.0,9.2,21.6,0.424,2.2,7.1,0.308,7.0,14.5,0.481,0.475,4.8,5.3,0.897,1.3,4.2,5.5,2.6,1.3,0.2,2.6,3.1,25.3,104.0,113.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,32,LAC,NBA,SG,6.0,0.0,176.0,12.0,27.8,0.433,1.6,4.8,0.333,10.4,23.0,0.453,0.462,9.1,11.0,0.829,1.6,2.9,4.5,12.3,1.3,0.3,4.8,3.7,34.7,110.0,125.0,
2019-20,33,LAC,NBA,PG,13.0,0.0,341.0,8.9,21.0,0.425,1.7,7.3,0.235,7.2,13.6,0.526,0.466,4.3,5.3,0.811,1.0,4.9,5.9,7.9,1.4,0.3,3.0,2.6,23.8,107.0,113.0,
2020-21,34,ATL,NBA,PG,18.0,2.0,277.0,8.9,19.7,0.455,2.3,5.4,0.433,6.6,14.3,0.463,0.514,4.7,4.8,0.963,0.4,4.3,4.7,7.0,2.1,0.2,3.9,2.9,24.9,108.0,112.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,89.0,2.0,2073.0,8.8,21.9,0.4,1.8,6.6,0.276,6.9,15.3,0.455,0.442,5.8,7.0,0.82,0.8,4.1,4.9,6.2,1.8,0.2,3.2,3.2,25.2,102.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,30.0,0.0,772.0,8.0,21.7,0.367,1.6,6.6,0.237,6.4,15.1,0.425,0.403,6.2,8.2,0.75,0.6,3.8,4.4,5.9,1.9,0.1,2.8,3.1,23.7,97.0,106.0,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,25.0,2.0,410.0,8.5,19.8,0.431,2.2,5.7,0.391,6.3,14.1,0.447,0.488,5.1,5.3,0.953,0.2,4.9,5.2,5.8,2.3,0.2,4.3,3.2,24.3,102.0,109.0,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,19.0,0.0,517.0,10.0,23.3,0.428,1.7,6.4,0.261,8.3,16.9,0.492,0.464,6.0,7.3,0.821,1.2,4.2,5.4,9.4,1.4,0.3,3.6,3.0,27.6,108.0,117.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,11.0,0.0,272.0,9.2,21.6,0.424,2.2,7.1,0.308,7.0,14.5,0.481,0.475,4.8,5.3,0.897,1.3,4.2,5.5,2.6,1.3,0.2,2.6,3.1,25.3,104.0,113.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4.0,0.0,102.0,8.0,25.4,0.314,2.0,10.5,0.19,6.0,14.9,0.4,0.353,7.5,9.0,0.833,1.0,2.5,3.5,2.5,3.0,0.0,1.5,4.5,25.4,91.0,114.0,
