"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2006-07,22,SAC,NBA,PG,42.0,0.0,359.0,0.381,16.2,0.603,0.143,0.151,0.103,0.206,0.397,0.474,0.5,0.579,0.231,0.5,0.24,0.306,0.833,0.008,1.0,0.34,0.176,0.0,0.0,
2007-08,23,SAC,NBA,PG,74.0,0.0,876.0,0.394,15.3,0.636,0.221,0.131,0.069,0.215,0.364,0.423,0.5,0.432,0.261,0.389,0.344,0.256,0.548,0.009,3.0,0.295,0.167,0.0,0.0,
2008-09,24,2TM,NBA,PG,27.0,0.0,300.0,0.382,16.0,0.582,0.145,0.164,0.055,0.218,0.418,0.438,0.5,0.444,0.167,0.458,0.304,0.25,0.643,0.009,1.0,0.261,0.333,1.0,0.0,
2008-09,24,SAC,NBA,PG,20.0,0.0,227.0,0.341,17.4,0.58,0.114,0.17,0.057,0.239,0.42,0.392,0.5,0.4,0.0,0.429,0.27,0.35,0.7,0.011,1.0,0.243,0.333,1.0,0.0,
2008-09,24,TOR,NBA,PG,7.0,0.0,73.0,0.545,14.7,0.591,0.273,0.136,0.045,0.136,0.409,0.615,0.5,0.667,1.0,0.667,0.444,0.0,0.5,0.0,0.0,0.333,0.333,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,143.0,0.0,1535.0,0.389,15.9,0.618,0.189,0.142,0.074,0.214,0.382,0.436,0.5,0.469,0.238,0.426,0.312,0.266,0.618,0.009,5.0,0.298,0.2,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,880.0,0.389,15.9,0.618,0.189,0.142,0.074,0.214,0.382,0.436,0.5,0.469,0.238,0.426,0.312,0.266,0.618,0.009,3.0,0.298,0.2,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),,136.0,0.0,1462.0,0.383,16.3,0.619,0.186,0.142,0.075,0.217,0.381,0.429,0.5,0.462,0.22,0.42,0.306,0.281,0.625,0.009,5.0,0.297,0.194,1.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,7.0,0.0,73.0,0.545,14.7,0.591,0.273,0.136,0.045,0.136,0.409,0.615,0.5,0.667,1.0,0.667,0.444,0.0,0.5,0.0,0.0,0.333,0.333,0.0,0.0,
