Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,21,MIL,NBA,PG,17.0,7.0,450.0,51.0,117.0,0.436,3.0,7.0,0.429,48.0,110.0,0.436,0.449,32.0,41.0,0.78,8.0,50.0,58.0,127.0,17.0,3.0,36.0,26.0,137.0,0.0,
2008-09,22,MIL,NBA,PG,79.0,39.0,2173.0,345.0,775.0,0.445,6.0,34.0,0.176,339.0,741.0,0.457,0.449,281.0,354.0,0.794,64.0,205.0,269.0,452.0,83.0,7.0,152.0,158.0,977.0,1.0,
2009-10,23,MIN,NBA,PG,82.0,1.0,1732.0,253.0,555.0,0.456,1.0,15.0,0.067,252.0,540.0,0.467,0.457,167.0,233.0,0.717,58.0,156.0,214.0,258.0,55.0,5.0,137.0,137.0,674.0,0.0,
2010-11,24,CLE,NBA,PG,81.0,38.0,2133.0,362.0,776.0,0.466,3.0,15.0,0.2,359.0,761.0,0.472,0.468,348.0,423.0,0.823,46.0,209.0,255.0,419.0,60.0,8.0,178.0,93.0,1075.0,0.0,
2011-12,25,2TM,NBA,PG,64.0,23.0,1707.0,242.0,565.0,0.428,43.0,97.0,0.443,199.0,468.0,0.425,0.466,194.0,248.0,0.782,33.0,181.0,214.0,354.0,44.0,3.0,141.0,100.0,721.0,0.0,
2011-12,25,CLE,NBA,PG,41.0,4.0,1006.0,141.0,354.0,0.398,26.0,62.0,0.419,115.0,292.0,0.394,0.435,122.0,147.0,0.83,19.0,108.0,127.0,212.0,27.0,1.0,82.0,63.0,430.0,0.0,
2011-12,25,LAL,NBA,PG,23.0,19.0,701.0,101.0,211.0,0.479,17.0,35.0,0.486,84.0,176.0,0.477,0.519,72.0,101.0,0.713,14.0,73.0,87.0,142.0,17.0,2.0,59.0,37.0,291.0,0.0,
2012-13,26,CHA,NBA,SG,61.0,0.0,1652.0,276.0,676.0,0.408,33.0,107.0,0.308,243.0,569.0,0.427,0.433,291.0,347.0,0.839,27.0,142.0,169.0,230.0,48.0,7.0,104.0,91.0,876.0,0.0,6MOY-12
2013-14,27,2TM,NBA,PG,83.0,19.0,2214.0,330.0,769.0,0.429,35.0,124.0,0.282,295.0,645.0,0.457,0.452,326.0,404.0,0.807,38.0,165.0,203.0,340.0,49.0,9.0,148.0,90.0,1021.0,0.0,
2013-14,27,CHA,NBA,PG,55.0,7.0,1305.0,190.0,465.0,0.409,15.0,68.0,0.221,175.0,397.0,0.441,0.425,183.0,234.0,0.782,22.0,95.0,117.0,206.0,33.0,6.0,93.0,50.0,578.0,0.0,
2013-14,27,MIL,NBA,PG,28.0,12.0,909.0,140.0,304.0,0.461,20.0,56.0,0.357,120.0,248.0,0.484,0.493,143.0,170.0,0.841,16.0,70.0,86.0,134.0,16.0,3.0,55.0,40.0,443.0,0.0,
2014-15,28,2TM,NBA,PG,64.0,10.0,1188.0,125.0,334.0,0.374,19.0,60.0,0.317,106.0,274.0,0.387,0.403,133.0,173.0,0.769,23.0,121.0,144.0,182.0,29.0,0.0,86.0,73.0,402.0,0.0,
2014-15,28,SAC,NBA,PG,36.0,7.0,642.0,63.0,183.0,0.344,6.0,28.0,0.214,57.0,155.0,0.368,0.361,64.0,88.0,0.727,13.0,56.0,69.0,96.0,13.0,0.0,51.0,45.0,196.0,0.0,
2014-15,28,WAS,NBA,PG,28.0,3.0,546.0,62.0,151.0,0.411,13.0,32.0,0.406,49.0,119.0,0.412,0.454,69.0,85.0,0.812,10.0,65.0,75.0,86.0,16.0,0.0,35.0,28.0,206.0,0.0,
2015-16,29,WAS,NBA,PG,82.0,5.0,1667.0,280.0,592.0,0.473,36.0,111.0,0.324,244.0,481.0,0.507,0.503,214.0,283.0,0.756,25.0,178.0,203.0,239.0,46.0,5.0,115.0,102.0,810.0,0.0,
2016-17,30,CHO,NBA,PG,50.0,1.0,811.0,100.0,263.0,0.38,21.0,62.0,0.339,79.0,201.0,0.393,0.42,91.0,118.0,0.771,11.0,62.0,73.0,129.0,27.0,3.0,46.0,43.0,312.0,0.0,
2017-18,31,2TM,NBA,PG,28.0,3.0,392.0,42.0,117.0,0.359,8.0,26.0,0.308,34.0,91.0,0.374,0.393,44.0,57.0,0.772,6.0,32.0,38.0,77.0,14.0,2.0,30.0,29.0,136.0,0.0,
2017-18,31,NYK,NBA,PG,13.0,3.0,167.0,17.0,53.0,0.321,2.0,11.0,0.182,15.0,42.0,0.357,0.34,12.0,15.0,0.8,1.0,17.0,18.0,27.0,7.0,1.0,15.0,14.0,48.0,0.0,
2017-18,31,WAS,NBA,PG,15.0,0.0,225.0,25.0,64.0,0.391,6.0,15.0,0.4,19.0,49.0,0.388,0.438,32.0,42.0,0.762,5.0,15.0,20.0,50.0,7.0,1.0,15.0,15.0,88.0,0.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,691.0,146.0,16119.0,2406.0,5539.0,0.434,208.0,658.0,0.316,2198.0,4881.0,0.45,0.453,2121.0,2681.0,0.791,339.0,1501.0,1840.0,2807.0,472.0,52.0,1173.0,942.0,7141.0,1.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,17.0,1913.0,286.0,657.0,0.434,25.0,78.0,0.316,261.0,579.0,0.45,0.453,252.0,318.0,0.791,40.0,178.0,218.0,333.0,56.0,6.0,139.0,112.0,847.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHO (3 Yrs),CHO (3 Yrs),CHO (3 Yrs),CHO (3 Yrs),,166.0,8.0,3768.0,566.0,1404.0,0.403,69.0,237.0,0.291,497.0,1167.0,0.426,0.428,565.0,699.0,0.808,60.0,299.0,359.0,565.0,108.0,16.0,243.0,184.0,1766.0,0.0,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,125.0,8.0,2438.0,367.0,807.0,0.455,55.0,158.0,0.348,312.0,649.0,0.481,0.489,315.0,410.0,0.768,40.0,258.0,298.0,375.0,69.0,6.0,165.0,145.0,1104.0,0.0,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,124.0,58.0,3532.0,536.0,1196.0,0.448,29.0,97.0,0.299,507.0,1099.0,0.461,0.46,456.0,565.0,0.807,88.0,325.0,413.0,713.0,116.0,13.0,243.0,224.0,1557.0,1.0,
CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,122.0,42.0,3139.0,503.0,1130.0,0.445,29.0,77.0,0.377,474.0,1053.0,0.45,0.458,470.0,570.0,0.825,65.0,317.0,382.0,631.0,87.0,9.0,260.0,156.0,1505.0,0.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,82.0,1.0,1732.0,253.0,555.0,0.456,1.0,15.0,0.067,252.0,540.0,0.467,0.457,167.0,233.0,0.717,58.0,156.0,214.0,258.0,55.0,5.0,137.0,137.0,674.0,0.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,36.0,7.0,642.0,63.0,183.0,0.344,6.0,28.0,0.214,57.0,155.0,0.368,0.361,64.0,88.0,0.727,13.0,56.0,69.0,96.0,13.0,0.0,51.0,45.0,196.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,23.0,19.0,701.0,101.0,211.0,0.479,17.0,35.0,0.486,84.0,176.0,0.477,0.519,72.0,101.0,0.713,14.0,73.0,87.0,142.0,17.0,2.0,59.0,37.0,291.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,13.0,3.0,167.0,17.0,53.0,0.321,2.0,11.0,0.182,15.0,42.0,0.357,0.34,12.0,15.0,0.8,1.0,17.0,18.0,27.0,7.0,1.0,15.0,14.0,48.0,0.0,
