Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,21,PHI,NBA,PF,6.0,0.0,82.0,5.4,12.2,0.444,0.0,0.7,0.0,5.4,11.6,0.471,0.444,2.7,2.7,1.0,2.7,7.5,10.2,2.0,0.7,3.4,1.4,3.4,13.6,111.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,24,NOH,NBA,C,6.0,0.0,58.0,6.8,14.5,0.467,0.0,0.0,,6.8,14.5,0.467,0.467,0.0,0.0,,1.0,5.8,6.8,1.0,1.9,0.0,0.0,10.7,13.6,99.0,113.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,30,WAS,NBA,C,13.0,0.0,157.0,6.0,12.3,0.487,0.9,3.2,0.3,5.1,9.2,0.552,0.526,3.2,4.4,0.714,3.2,6.0,9.2,1.3,0.6,2.2,3.2,9.5,16.1,103.0,112.0,
2017-18,31,WAS,NBA,C,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,121.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,26.0,0.0,299.0,6.0,12.6,0.472,0.5,1.9,0.273,5.4,10.7,0.508,0.493,2.5,3.2,0.778,2.6,6.3,8.9,1.4,0.9,2.1,2.1,8.1,14.9,104.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,14.0,0.0,159.0,5.9,12.2,0.487,0.9,3.1,0.3,5.0,9.1,0.552,0.526,3.1,4.4,0.714,3.1,5.9,9.1,1.2,0.6,2.2,3.1,9.4,15.9,103.0,113.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,6.0,0.0,58.0,6.8,14.5,0.467,0.0,0.0,,6.8,14.5,0.467,0.467,0.0,0.0,,1.0,5.8,6.8,1.0,1.9,0.0,0.0,10.7,13.6,99.0,113.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,6.0,0.0,82.0,5.4,12.2,0.444,0.0,0.7,0.0,5.4,11.6,0.471,0.444,2.7,2.7,1.0,2.7,7.5,10.2,2.0,0.7,3.4,1.4,3.4,13.6,111.0,107.0,
