"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2011-12,24.0,DEN,NBA,32:39,9.0,12.0,0.0,0.0,9.0,12.0,4.0,6.0,6.0,9.0,15.0,2.0,2.0,6.0,2.0,5.0,21.0,22.5
2012-13,25.0,DEN,NBA,25:33,4.0,9.0,0.0,0.0,4.0,9.0,2.0,4.0,7.0,4.0,10.0,0.0,2.0,3.0,4.0,4.0,10.0,9.8
2015-16,28.0,DAL,NBA,10:29,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0
2016-17,29.0,GSW,NBA,15:57,7.0,9.0,0.0,0.0,7.0,9.0,4.0,6.0,3.0,5.0,7.0,2.0,1.0,4.0,2.0,4.0,16.0,16.6
2017-18,30.0,GSW,NBA,18:31,6.0,7.0,0.0,1.0,6.0,7.0,5.0,6.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,4.0,15.0,14.5
2019-20,32.0,LAL,NBA,14:14,5.0,6.0,0.0,1.0,5.0,6.0,1.0,1.0,5.0,6.0,8.0,3.0,1.0,4.0,2.0,4.0,10.0,13.5
2020-21,33.0,DEN,NBA,19:40,2.0,4.0,0.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,7.0,2.0,1.0,2.0,1.0,2.0,5.0,5.4
2021-22,34.0,PHO,NBA,16:09,7.0,8.0,0.0,1.0,7.0,8.0,3.0,4.0,4.0,7.0,7.0,2.0,1.0,3.0,2.0,5.0,15.0,14.1
Career,,,,32:39,9.0,12.0,0.0,1.0,9.0,12.0,5.0,6.0,7.0,9.0,15.0,3.0,2.0,6.0,4.0,5.0,21.0,22.5
,,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,DEN,NBA,32:39,9.0,12.0,0.0,1.0,9.0,12.0,4.0,6.0,7.0,9.0,15.0,2.0,2.0,6.0,4.0,5.0,21.0,22.5
2 Seasons,,GSW,NBA,18:31,7.0,9.0,0.0,1.0,7.0,9.0,5.0,6.0,3.0,5.0,7.0,2.0,2.0,4.0,2.0,4.0,16.0,16.6
1 Season,,LAL,NBA,14:14,5.0,6.0,0.0,1.0,5.0,6.0,1.0,1.0,5.0,6.0,8.0,3.0,1.0,4.0,2.0,4.0,10.0,13.5
1 Season,,PHO,NBA,16:09,7.0,8.0,0.0,1.0,7.0,8.0,3.0,4.0,4.0,7.0,7.0,2.0,1.0,3.0,2.0,5.0,15.0,14.1
1 Season,,DAL,NBA,10:29,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0
