"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2012-13,24.0,GSW,NBA,57:56,18.0,35.0,6.0,14.0,12.0,21.0,9.0,9.0,2.0,6.0,6.0,13.0,4.0,1.0,7.0,5.0,44.0,30.4
2013-14,25.0,GSW,NBA,45:50,10.0,24.0,7.0,14.0,8.0,16.0,16.0,16.0,1.0,6.0,7.0,15.0,3.0,1.0,8.0,4.0,33.0,31.5
2014-15,26.0,GSW,NBA,43:51,13.0,29.0,8.0,18.0,9.0,14.0,13.0,14.0,3.0,7.0,8.0,10.0,6.0,1.0,6.0,4.0,40.0,36.6
2015-16,27.0,GSW,NBA,41:01,16.0,32.0,7.0,16.0,11.0,16.0,10.0,10.0,3.0,9.0,10.0,11.0,5.0,3.0,7.0,6.0,40.0,29.2
2016-17,28.0,GSW,NBA,40:48,14.0,26.0,7.0,16.0,9.0,11.0,14.0,15.0,5.0,8.0,13.0,11.0,6.0,1.0,8.0,5.0,40.0,32.9
2017-18,29.0,GSW,NBA,46:26,13.0,27.0,9.0,17.0,8.0,13.0,7.0,7.0,2.0,9.0,9.0,10.0,4.0,3.0,6.0,5.0,37.0,29.8
2018-19,30.0,GSW,NBA,47:24,14.0,31.0,9.0,16.0,8.0,17.0,14.0,14.0,4.0,12.0,15.0,11.0,3.0,1.0,6.0,5.0,47.0,37.2
2021-22,33.0,GSW,NBA,40:41,14.0,27.0,7.0,17.0,8.0,14.0,14.0,14.0,3.0,10.0,12.0,11.0,4.0,2.0,5.0,5.0,43.0,30.4
2022-23,34.0,GSW,NBA,42:42,20.0,38.0,7.0,18.0,13.0,20.0,7.0,9.0,3.0,7.0,10.0,14.0,3.0,1.0,5.0,5.0,50.0,36.8
2024-25,36.0,GSW,NBA,45:31,12.0,23.0,6.0,16.0,7.0,10.0,7.0,8.0,1.0,10.0,10.0,9.0,2.0,2.0,6.0,4.0,36.0,33.1
Career,,,,57:56,20.0,38.0,9.0,18.0,13.0,21.0,16.0,16.0,5.0,12.0,15.0,15.0,6.0,3.0,8.0,6.0,50.0,37.2
,,,,,,,,,,,,,,,,,,,,,,
10 Seasons,,GSW,NBA,57:56,20.0,38.0,9.0,18.0,13.0,21.0,16.0,16.0,5.0,12.0,15.0,15.0,6.0,3.0,8.0,6.0,50.0,37.2
