"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2009-10,20,SAC,NBA,SG,72.0,72.0,2677.0,10.0,71.0,19.0,0.0,0.0,-6.7,-6.2,74.0,60.0,80.0,31.0,209.0,18.0,960.0,49.0,83.0,ROY-1
2010-11,21,SAC,NBA,SG,57.0,53.0,2107.0,5.0,86.0,9.0,0.0,0.0,-5.3,1.1,82.0,52.0,55.0,26.0,121.0,6.0,728.0,29.0,68.0,
2011-12,22,SAC,NBA,SG,63.0,61.0,2162.0,3.0,62.0,35.0,0.0,0.0,-6.9,-2.6,67.0,51.0,55.0,20.0,122.0,6.0,663.0,27.0,75.0,
2012-13,23,SAC,NBA,SG,65.0,61.0,2016.0,1.0,69.0,29.0,1.0,0.0,-5.5,-0.2,56.0,35.0,50.0,17.0,109.0,5.0,525.0,14.0,58.0,
2013-14,24,NOP,NBA,SF,72.0,22.0,2028.0,1.0,28.0,69.0,2.0,0.0,-4.7,-4.3,69.0,48.0,55.0,20.0,146.0,8.0,835.0,39.0,103.0,
2014-15,25,NOP,NBA,SG,79.0,76.0,2690.0,2.0,71.0,27.0,0.0,0.0,3.1,5.4,116.0,66.0,67.0,31.0,133.0,6.0,1224.0,33.0,112.0,
2015-16,26,NOP,NBA,SG,25.0,25.0,765.0,1.0,60.0,39.0,1.0,0.0,-0.3,4.4,34.0,21.0,31.0,4.0,40.0,2.0,390.0,5.0,23.0,
2016-17,27,2TM,NBA,SF,40.0,6.0,788.0,0.0,15.0,81.0,4.0,0.0,-9.4,-7.4,35.0,11.0,23.0,10.0,48.0,0.0,303.0,14.0,29.0,
2016-17,27,NOP,NBA,SF,26.0,0.0,474.0,0.0,25.0,70.0,5.0,0.0,-7.9,-6.7,20.0,7.0,16.0,7.0,33.0,0.0,225.0,11.0,18.0,
2016-17,27,SAC,NBA,SF,14.0,6.0,314.0,0.0,1.0,97.0,3.0,0.0,-11.6,-8.3,15.0,4.0,7.0,3.0,15.0,0.0,78.0,3.0,11.0,
2017-18,28,MEM,NBA,PG,52.0,32.0,1607.0,26.0,69.0,5.0,0.0,0.0,1.0,12.6,73.0,19.0,47.0,10.0,90.0,1.0,630.0,22.0,65.0,
2018-19,29,IND,NBA,SG,69.0,18.0,1402.0,0.0,79.0,20.0,0.0,0.0,2.8,-0.8,66.0,19.0,41.0,12.0,72.0,10.0,374.0,15.0,53.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,594.0,426.0,18242.0,5.0,64.0,30.0,1.0,0.0,-3.2,0.1,672.0,382.0,504.0,181.0,1090.0,62.0,6632.0,247.0,669.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,59.0,2518.0,5.0,64.0,30.0,1.0,0.0,-3.2,0.1,93.0,53.0,70.0,25.0,150.0,9.0,916.0,34.0,92.0,
,,,,,,,,,,,,,,,,,,,,,,,,
SAC (5 Yrs),SAC (5 Yrs),SAC (5 Yrs),SAC (5 Yrs),,271.0,253.0,9276.0,5.0,69.0,25.0,0.0,0.0,-6.3,-2.5,294.0,202.0,247.0,97.0,576.0,35.0,2954.0,122.0,295.0,
NOP (4 Yrs),NOP (4 Yrs),NOP (4 Yrs),NOP (4 Yrs),,202.0,123.0,5957.0,1.0,51.0,46.0,1.0,0.0,-0.9,1.0,239.0,142.0,169.0,62.0,352.0,16.0,2674.0,88.0,256.0,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,69.0,18.0,1402.0,0.0,79.0,20.0,0.0,0.0,2.8,-0.8,66.0,19.0,41.0,12.0,72.0,10.0,374.0,15.0,53.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,52.0,32.0,1607.0,26.0,69.0,5.0,0.0,0.0,1.0,12.6,73.0,19.0,47.0,10.0,90.0,1.0,630.0,22.0,65.0,
