"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
James Johnson,,5.1,5.0,4.1,3.0,2.6,1.7,1.5,1.3,1.2,1.1,0.8,0.6,0.1,0.0,-0.1,-0.5
Phil Jackson,87.8,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,,,
Kris Humphries,87.6,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.6,1.5,0.7,0.2,-0.3,,,
Aaron Williams,87.0,5.2,5.0,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1,,
Luc Mbah a Moute,86.9,4.8,4.7,4.0,3.1,2.8,2.4,1.6,1.1,1.0,0.5,0.0,0.0,,,,
James Jones,86.1,4.7,4.0,3.7,2.5,2.2,1.7,1.5,1.2,1.0,0.9,0.8,0.7,0.2,0.0,,
Alan Henderson,83.2,6.0,4.3,3.1,3.1,2.6,2.0,1.9,1.6,1.3,1.3,0.7,0.2,,,,
Brandan Wright,82.9,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,,,,,,
Markieff Morris,82.7,6.4,4.6,4.1,3.3,1.7,1.6,1.6,1.5,1.4,0.5,0.4,0.3,-0.1,-0.2,,
Shandon Anderson,82.3,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,,,,
Eduardo NÃ¡jera,81.0,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,,,,
