"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2009-10,22,DEN,NBA,WC1,UTA,L (2-4),6,19.7,7.8,1.3,2.7,1.0,0.0,15,35,.429,4,10,.400,11,25,.440,.486,13,19,.684,4,4,8,16,6,0,8,18,47,
2010-11,23,DEN,NBA,WC1,OKC,L (1-4),5,33.4,15.6,3.4,3.8,1.0,0.2,26,52,.500,5,11,.455,21,41,.512,.548,21,23,.913,7,10,17,19,5,1,6,9,78,
2011-12,24,DEN,NBA,WC1,LAL,L (3-4),7,34.6,19.0,2.6,6.0,1.0,0.1,56,109,.514,9,28,.321,47,81,.580,.555,12,19,.632,4,14,18,42,7,1,8,12,133,
2012-13,25,DEN,NBA,WC1,GSW,L (2-4),6,39.3,21.3,3.3,8.0,1.7,0.0,48,109,.440,4,21,.190,44,88,.500,.459,28,33,.848,5,15,20,48,10,0,13,13,128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,28,IND,NBA,EC1,TOR,L (3-4),7,10.6,2.3,1.0,1.4,0.4,0.0,6,18,.333,0,3,.000,6,15,.400,.333,4,6,.667,1,6,7,10,3,0,6,8,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,30,WAS,NBA,EC1,TOR,L (2-4),5,19.2,5.8,2.6,3.0,0.6,0.0,9,26,.346,5,8,.625,4,18,.222,.442,6,6,1.000,2,11,13,15,3,0,3,6,29,
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
6 Yrs (6 Series),6 Yrs (6 Series),6 Yrs (6 Series),6 Yrs (6 Series),6 Yrs (6 Series),6 Yrs (6 Series),0-6,36,25.9,12.0,2.3,4.2,0.9,0.1,160,349,.458,27,81,.333,133,268,.496,.497,84,106,.792,23,60,83,150,34,2,44,66,431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),WC1 (4 Series),0-4,24,31.8,16.1,2.6,5.2,1.2,0.1,145,305,.475,22,70,.314,123,235,.523,.511,74,94,.787,20,43,63,125,28,2,35,52,386,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),0-2,12,14.2,3.8,1.7,2.1,0.5,0.0,15,44,.341,5,11,.455,10,33,.303,.398,10,12,.833,3,17,20,25,6,0,9,14,45,
