Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2010-11,20,UTA,NBA,SF,72.0,17.0,1218.0,6.1,12.7,0.485,1.5,3.2,0.473,4.6,9.5,0.489,0.544,3.0,4.2,0.711,1.8,4.2,6.0,3.5,1.3,0.8,3.0,4.6,16.8,106.0,113.0,
2011-12,21,UTA,NBA,SF,66.0,58.0,2015.0,7.0,15.3,0.456,1.4,4.1,0.346,5.5,11.1,0.496,0.503,5.0,6.0,0.832,1.5,4.5,6.0,5.4,1.4,1.1,2.8,2.8,20.4,113.0,109.0,
2012-13,22,UTA,NBA,SF,72.0,27.0,2104.0,8.4,19.4,0.435,2.6,6.2,0.415,5.9,13.2,0.444,0.501,6.1,7.4,0.827,1.3,4.4,5.6,5.3,1.5,1.0,3.0,3.1,25.5,113.0,110.0,6MOY-14
2013-14,23,UTA,NBA,SF,77.0,77.0,2800.0,8.0,19.4,0.413,1.6,5.3,0.304,6.4,14.1,0.453,0.454,5.8,7.1,0.816,1.2,6.2,7.3,7.5,2.1,0.8,4.0,2.9,23.4,104.0,111.0,
2014-15,24,UTA,NBA,SF,76.0,76.0,2618.0,9.8,22.0,0.445,2.4,6.7,0.364,7.4,15.4,0.481,0.5,7.6,9.4,0.812,1.1,6.5,7.6,6.3,2.2,0.6,4.2,2.7,29.7,111.0,105.0,
2015-16,25,UTA,NBA,SF,80.0,80.0,2893.0,9.5,21.9,0.433,2.6,7.5,0.349,6.9,14.4,0.477,0.493,7.2,8.7,0.824,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,110.0,105.0,
2016-17,26,UTA,NBA,SF,73.0,73.0,2516.0,11.4,24.1,0.471,3.1,7.8,0.398,8.3,16.3,0.506,0.536,7.5,8.9,0.844,1.0,7.2,8.2,5.3,1.5,0.4,2.9,2.4,33.4,118.0,106.0,AS
2017-18,27,BOS,NBA,SF,1.0,1.0,5.0,10.0,20.0,0.5,0.0,10.0,0.0,10.0,10.0,1.0,0.5,0.0,0.0,,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,99.0,107.0,
2018-19,28,BOS,NBA,PF,72.0,18.0,1863.0,7.7,16.4,0.466,2.0,6.0,0.333,5.7,10.4,0.542,0.527,4.0,4.8,0.834,1.3,7.0,8.3,6.3,1.6,0.6,2.7,2.7,21.3,114.0,109.0,
2019-20,29,BOS,NBA,SF,52.0,52.0,1740.0,9.7,19.4,0.5,2.4,6.2,0.383,7.4,13.3,0.554,0.561,3.4,4.0,0.855,1.5,8.1,9.7,5.9,1.1,0.6,2.7,2.7,25.2,118.0,109.0,
2020-21,30,CHO,NBA,SF,44.0,44.0,1496.0,10.2,21.5,0.473,2.8,6.7,0.415,7.4,14.8,0.499,0.537,5.1,6.0,0.843,1.2,7.2,8.4,5.9,1.7,0.5,3.0,2.4,28.2,114.0,113.0,
2021-22,31,CHO,NBA,SF,49.0,48.0,1564.0,8.7,18.9,0.459,2.6,6.8,0.391,6.0,12.2,0.496,0.528,3.9,4.6,0.846,1.2,5.7,6.9,5.4,1.4,0.7,2.5,2.6,23.9,113.0,116.0,
2022-23,32,CHO,NBA,SF,50.0,50.0,1577.0,8.3,17.5,0.475,1.6,4.8,0.325,6.8,12.7,0.532,0.52,3.9,4.8,0.811,1.0,5.5,6.5,6.2,1.3,0.4,3.0,2.1,22.1,110.0,118.0,
2023-24,33,2TM,NBA,SF,51.0,28.0,1245.0,7.3,15.8,0.464,1.5,3.5,0.411,5.9,12.3,0.479,0.51,3.5,4.7,0.742,1.5,5.6,7.1,6.2,1.6,0.5,2.6,2.6,19.6,111.0,118.0,
2023-24,33,CHO,NBA,SF,25.0,25.0,798.0,8.6,18.4,0.468,1.4,3.8,0.361,7.2,14.6,0.496,0.505,3.8,5.0,0.765,1.5,5.7,7.2,7.2,1.7,0.7,3.2,2.8,22.4,109.0,120.0,
2023-24,33,OKC,NBA,SF,26.0,3.0,447.0,5.2,11.4,0.453,1.6,3.1,0.517,3.5,8.3,0.429,0.524,2.9,4.2,0.692,1.4,5.5,6.9,4.5,1.3,0.1,1.6,2.3,14.8,117.0,116.0,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,835.0,649.0,25654.0,8.8,19.3,0.455,2.2,6.0,0.37,6.6,13.4,0.493,0.512,5.4,6.6,0.822,1.2,6.1,7.3,5.8,1.6,0.6,3.2,2.8,25.2,112.0,110.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (7 Yrs),UTA (7 Yrs),UTA (7 Yrs),UTA (7 Yrs),,516.0,408.0,16164.0,8.9,20.0,0.444,2.2,6.1,0.368,6.6,13.9,0.477,0.5,6.3,7.7,0.82,1.2,5.8,7.0,5.7,1.7,0.7,3.5,3.0,26.3,111.0,108.0,
CHO (4 Yrs),CHO (4 Yrs),CHO (4 Yrs),CHO (4 Yrs),,168.0,167.0,5435.0,9.0,19.1,0.469,2.2,5.7,0.379,6.8,13.4,0.507,0.526,4.2,5.1,0.824,1.2,6.1,7.2,6.0,1.5,0.5,2.9,2.4,24.3,112.0,116.0,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,125.0,71.0,3608.0,8.6,17.9,0.484,2.2,6.1,0.357,6.5,11.8,0.549,0.545,3.7,4.4,0.843,1.4,7.6,9.0,6.1,1.3,0.6,2.7,2.7,23.2,116.0,109.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,26.0,3.0,447.0,5.2,11.4,0.453,1.6,3.1,0.517,3.5,8.3,0.429,0.524,2.9,4.2,0.692,1.4,5.5,6.9,4.5,1.3,0.1,1.6,2.3,14.8,117.0,116.0,
