"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
DÄvis BertÄns,,4.0,3.5,3.1,3.1,2.3,0.9,0.9,0.9,,
Ronny Turiaf,89.9,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0
Willie Norwood,89.4,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,,
Howard Porter,86.6,4.1,3.9,2.7,2.4,2.4,1.1,1.0,,,
Kenny Gattison,85.9,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0,
Craig Smith,85.9,3.9,3.5,3.1,3.0,1.5,1.0,,,,
Maxi Kleber,84.7,4.8,3.5,3.0,2.9,2.8,1.4,1.3,0.3,,
Stromile Swift,84.3,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,
Andray Blatche,83.6,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,
Glen Gondrezick,83.5,3.6,3.1,3.1,2.7,2.5,0.9,,,,
Earl Lloyd,83.3,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,
