"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2011-12,23.0,NJN,NBA,41:52,11.0,19.0,4.0,7.0,10.0,17.0,7.0,8.0,4.0,8.0,10.0,7.0,3.0,1.0,6.0,4.0,24.0,21.0
2012-13,24.0,BRK,NBA,36:53,12.0,16.0,2.0,4.0,11.0,13.0,6.0,6.0,4.0,6.0,7.0,7.0,3.0,2.0,5.0,5.0,27.0,21.2
2013-14,25.0,TOT,NBA,26:30,9.0,13.0,3.0,5.0,7.0,11.0,6.0,6.0,3.0,5.0,7.0,4.0,3.0,2.0,3.0,3.0,23.0,17.3
2013-14,25.0,BOS,NBA,17:36,3.0,7.0,1.0,1.0,3.0,6.0,3.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,6.3
2013-14,25.0,GSW,NBA,7:20,2.0,5.0,0.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0
2013-14,25.0,LAL,NBA,26:30,9.0,13.0,3.0,5.0,7.0,11.0,6.0,6.0,3.0,4.0,7.0,4.0,3.0,2.0,3.0,3.0,23.0,17.3
2017-18,29.0,MEM,NBA,36:43,11.0,20.0,5.0,10.0,10.0,17.0,7.0,7.0,4.0,4.0,8.0,7.0,2.0,2.0,5.0,3.0,25.0,22.4
2018-19,30.0,MEM,NBA,22:35,7.0,10.0,2.0,4.0,5.0,10.0,5.0,7.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,18.0,15.7
Career,,,,41:52,12.0,20.0,5.0,10.0,11.0,17.0,7.0,8.0,4.0,8.0,10.0,7.0,3.0,2.0,6.0,5.0,27.0,22.4
,,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,"BRK,NJN",NBA,41:52,12.0,19.0,4.0,7.0,11.0,17.0,7.0,8.0,4.0,8.0,10.0,7.0,3.0,2.0,6.0,5.0,27.0,21.2
2 Seasons,,MEM,NBA,36:43,11.0,20.0,5.0,10.0,10.0,17.0,7.0,7.0,4.0,4.0,8.0,7.0,3.0,2.0,5.0,3.0,25.0,22.4
1 Season,,LAL,NBA,26:30,9.0,13.0,3.0,5.0,7.0,11.0,6.0,6.0,3.0,4.0,7.0,4.0,3.0,2.0,3.0,3.0,23.0,17.3
1 Season,,BOS,NBA,17:36,3.0,7.0,1.0,1.0,3.0,6.0,3.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,6.3
1 Season,,GSW,NBA,7:20,2.0,5.0,0.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0
