"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2012-13,22.0,HOU,NBA,33:38,7.0,12.0,2.0,5.0,5.0,8.0,4.0,6.0,3.0,5.0,8.0,5.0,2.0,2.0,4.0,5.0,19.0,15.2
2013-14,23.0,HOU,NBA,29:50,9.0,11.0,3.0,4.0,8.0,9.0,4.0,6.0,7.0,11.0,15.0,3.0,2.0,3.0,5.0,6.0,20.0,18.5
2014-15,24.0,HOU,NBA,43:04,11.0,19.0,3.0,6.0,9.0,16.0,5.0,8.0,7.0,10.0,12.0,7.0,4.0,3.0,5.0,6.0,26.0,21.1
2015-16,25.0,HOU,NBA,27:26,8.0,14.0,3.0,5.0,7.0,12.0,5.0,6.0,4.0,6.0,9.0,4.0,3.0,2.0,4.0,5.0,19.0,16.6
2016-17,26.0,NOP,NBA,24:38,6.0,12.0,2.0,5.0,5.0,9.0,4.0,6.0,3.0,7.0,8.0,4.0,3.0,2.0,3.0,5.0,14.0,13.2
2018-19,28.0,SAS,NBA,5:50,1.0,4.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,2.0,0.3
Career,,,,43:04,11.0,19.0,3.0,6.0,9.0,16.0,5.0,8.0,7.0,11.0,15.0,7.0,4.0,3.0,5.0,6.0,26.0,21.1
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,HOU,NBA,43:04,11.0,19.0,3.0,6.0,9.0,16.0,5.0,8.0,7.0,11.0,15.0,7.0,4.0,3.0,5.0,6.0,26.0,21.1
1 Season,,NOP,NBA,24:38,6.0,12.0,2.0,5.0,5.0,9.0,4.0,6.0,3.0,7.0,8.0,4.0,3.0,2.0,3.0,5.0,14.0,13.2
1 Season,,SAS,NBA,5:50,1.0,4.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,2.0,0.3
