Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011-12,20,GSW,NBA,C,42.0,23.0,568.0,88.0,209.0,0.421,0.0,1.0,0.0,88.0,208.0,0.423,0.421,29.0,52.0,0.558,54.0,86.0,140.0,16.0,16.0,20.0,36.0,84.0,205.0,0.0,
2012-13,21,2TM,NBA,C,21.0,0.0,68.0,9.0,24.0,0.375,0.0,0.0,,9.0,24.0,0.375,0.375,4.0,6.0,0.667,6.0,14.0,20.0,1.0,1.0,2.0,6.0,10.0,22.0,0.0,
2012-13,21,GSW,NBA,C,20.0,0.0,63.0,9.0,24.0,0.375,0.0,0.0,,9.0,24.0,0.375,0.375,4.0,6.0,0.667,6.0,11.0,17.0,1.0,1.0,2.0,6.0,10.0,22.0,0.0,
2012-13,21,ATL,NBA,C,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-14,22,NYK,NBA,C,41.0,0.0,398.0,60.0,116.0,0.517,0.0,0.0,,60.0,116.0,0.517,0.517,26.0,48.0,0.542,38.0,71.0,109.0,8.0,6.0,20.0,26.0,70.0,146.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,104.0,23.0,1034.0,157.0,349.0,0.45,0.0,1.0,0.0,157.0,348.0,0.451,0.45,59.0,106.0,0.557,98.0,171.0,269.0,25.0,23.0,42.0,68.0,164.0,373.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,18.0,815.0,124.0,275.0,0.45,0.0,1.0,0.0,124.0,274.0,0.451,0.45,47.0,84.0,0.557,77.0,135.0,212.0,20.0,18.0,33.0,54.0,129.0,294.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),,62.0,23.0,631.0,97.0,233.0,0.416,0.0,1.0,0.0,97.0,232.0,0.418,0.416,33.0,58.0,0.569,60.0,97.0,157.0,17.0,17.0,22.0,42.0,94.0,227.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,41.0,0.0,398.0,60.0,116.0,0.517,0.0,0.0,,60.0,116.0,0.517,0.517,26.0,48.0,0.542,38.0,71.0,109.0,8.0,6.0,20.0,26.0,70.0,146.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
