Season,Team,Lg,Salary
2011-12,Philadelphia 76ers,NBA,"$1,645,400"
2012-13,Orlando Magic,NBA,"$1,768,800"
2013-14,Orlando Magic,NBA,"$1,793,520"
2014-15,Orlando Magic,NBA,"$2,751,260"
2015-16,Orlando Magic,NBA,"$11,250,000"
2016-17,Orlando Magic,NBA,"$11,750,000"
2017-18,Orlando Magic,NBA,"$12,250,000"
2018-19,Orlando Magic,NBA,"$12,750,000"
2019-20,Orlando Magic,NBA,"$28,000,000"
2020-21,Chicago Bulls,NBA,"$26,000,000"
2021-22,Chicago Bulls,NBA,"$24,000,000"
2022-23,Chicago Bulls,NBA,"$22,000,000"
2023-24,Chicago Bulls,NBA,"$18,518,519"
2024-25,Chicago Bulls,NBA,"$20,000,000"
Career,(may be incomplete),,"$194,477,499"
