Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2013-14,20,WAS,NBA,SG,11.0,11.0,458.0,9.0,21.1,0.424,2.6,6.3,0.415,6.3,14.8,0.427,0.486,4.7,5.9,0.796,1.8,4.8,6.6,6.0,2.1,0.8,2.7,3.7,25.2,110.0,102.0,
2014-15,21,WAS,NBA,SG,10.0,10.0,418.0,9.8,24.3,0.405,2.8,7.6,0.365,7.0,16.6,0.423,0.463,5.9,7.2,0.831,1.7,5.0,6.7,5.6,1.9,0.8,3.2,2.3,28.4,107.0,103.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,23,WAS,NBA,SG,13.0,13.0,505.0,12.0,25.5,0.471,2.9,9.9,0.287,9.1,15.5,0.589,0.527,4.9,6.0,0.82,1.5,2.9,4.3,3.4,2.1,0.8,2.7,3.7,31.7,113.0,113.0,
2017-18,24,WAS,NBA,SG,6.0,6.0,216.0,11.2,24.7,0.454,4.8,10.3,0.467,6.4,14.4,0.444,0.551,4.6,5.3,0.87,0.5,4.1,4.6,3.9,1.6,0.5,3.4,4.3,31.8,109.0,115.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,27,WAS,NBA,SG,5.0,5.0,195.0,13.5,29.6,0.455,1.7,7.7,0.219,11.8,21.9,0.538,0.484,7.5,8.7,0.861,1.4,6.0,7.5,5.1,1.0,0.7,4.8,1.4,36.1,103.0,122.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,30,PHO,NBA,SG,4.0,4.0,154.0,8.7,19.7,0.441,3.3,7.7,0.435,5.3,12.0,0.444,0.525,1.3,1.7,0.8,2.0,1.7,3.7,6.0,1.0,0.3,4.3,5.0,22.0,100.0,132.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,49.0,49.0,1946.0,10.7,24.2,0.442,2.9,8.3,0.353,7.8,15.9,0.488,0.502,5.0,6.1,0.828,1.5,4.1,5.6,4.9,1.8,0.7,3.2,3.3,29.3,108.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (5 Yrs),WAS (5 Yrs),WAS (5 Yrs),WAS (5 Yrs),,45.0,45.0,1792.0,10.8,24.6,0.442,2.9,8.3,0.347,8.0,16.2,0.49,0.501,5.4,6.5,0.829,1.5,4.3,5.8,4.8,1.9,0.8,3.1,3.2,29.9,109.0,109.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,4.0,154.0,8.7,19.7,0.441,3.3,7.7,0.435,5.3,12.0,0.444,0.525,1.3,1.7,0.8,2.0,1.7,3.7,6.0,1.0,0.3,4.3,5.0,22.0,100.0,132.0,
