"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2012-13,23,ORL,NBA,PF,75.0,28.0,1249.0,0.527,0.527,,0.527,0.798,0.557,0.193,0.0,116.0,109.0,,106.0,106.0,104.0,72.0,0.0,29.5,23.1,
2013-14,24,ORL,NBA,PF,76.0,5.0,1174.0,0.429,0.459,0.315,0.462,0.825,0.489,0.136,0.212,94.0,94.0,87.0,92.0,109.0,90.0,48.0,82.0,-32.9,-46.5,
2014-15,25,ORL,NBA,PF,40.0,3.0,492.0,0.437,0.47,0.317,0.471,0.6,0.483,0.132,0.216,97.0,97.0,91.0,95.0,80.0,90.0,48.0,80.0,-9.4,-20.7,
2015-16,26,ORL,NBA,PF,56.0,0.0,823.0,0.471,0.536,0.36,0.537,0.785,0.567,0.21,0.368,104.0,109.0,102.0,107.0,104.0,105.0,76.0,129.0,21.5,17.5,
2016-17,27,2TM,NBA,PF,38.0,0.0,342.0,0.387,0.452,0.185,0.41,0.643,0.427,0.126,0.243,85.0,90.0,52.0,80.0,83.0,77.0,47.0,77.0,-23.0,-29.4,
2016-17,27,WAS,NBA,PF,28.0,0.0,231.0,0.39,0.443,0.188,0.409,0.583,0.425,0.156,0.208,85.0,88.0,52.0,80.0,76.0,77.0,58.0,66.0,-16.1,-20.9,
2016-17,27,BRK,NBA,PF,10.0,0.0,111.0,0.382,0.478,0.182,0.412,1.0,0.43,0.059,0.324,84.0,95.0,51.0,80.0,130.0,78.0,22.0,102.0,-6.9,-8.5,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,285.0,36.0,4080.0,0.467,0.498,0.321,0.495,0.773,0.522,0.168,0.179,103.0,102.0,90.0,99.0,102.0,97.0,61.0,65.0,-14.3,-56.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),,247.0,36.0,3738.0,0.473,0.502,0.336,0.502,0.78,0.529,0.171,0.174,105.0,103.0,95.0,101.0,103.0,98.0,62.0,64.0,8.7,-26.6,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,28.0,0.0,231.0,0.39,0.443,0.188,0.409,0.583,0.425,0.156,0.208,85.0,88.0,52.0,80.0,76.0,77.0,58.0,66.0,-16.1,-20.9,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,10.0,0.0,111.0,0.382,0.478,0.182,0.412,1.0,0.43,0.059,0.324,84.0,95.0,51.0,80.0,130.0,78.0,22.0,102.0,-6.9,-8.5,
