"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Kyle O'Quinn,,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0
Glen Davis,92.6,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8
David Benoit,88.7,4.6,3.9,2.3,2.0,1.6,1.6,0.7,
Kwame Brown,88.3,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6
Donald Royal,85.8,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4
Andrea Bargnani,85.5,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.1
Derek Strong,85.0,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.0
Rasual Butler,83.9,4.6,2.7,2.6,1.7,1.7,1.6,1.2,0.1
Francisco GarcÃ­a,83.9,4.2,3.0,2.4,2.4,1.6,1.3,1.0,0.8
Earl Lloyd,82.4,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6
Etan Thomas,81.9,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
