"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,20,BOS,NBA,PF,45,5,892,.493,7.7,.978,.453,.236,.067,.222,.022,.500,.667,.302,.533,.360,.200,.555,1.000,.040,9,.400,.000,1,0,
2013-14,21,BOS,NBA,PF,74,44,2041,.427,11.4,.769,.310,.245,.099,.115,.231,.475,.599,.377,.348,.456,.269,.473,1.000,.024,19,.096,.300,3,0,
2014-15,22,BOS,NBA,PF,58,49,1566,.439,11.9,.740,.270,.222,.109,.140,.260,.494,.623,.420,.351,.475,.283,.521,.981,.017,12,.054,.400,1,0,
2015-16,23,BOS,NBA,PF,81,73,1915,.435,11.3,.872,.292,.202,.092,.287,.128,.458,.591,.399,.351,.398,.282,.609,1.000,.009,7,.019,.500,2,0,
2016-17,24,TOR,NBA,PF,11,1,118,.319,15.6,.617,.255,.149,.085,.149,.383,.414,.583,.143,.500,.286,.167,.833,.667,.000,0,.056,1.000,0,0,
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,269,172,6532,.436,11.6,.807,.305,.223,.096,.182,.193,.476,.611,.385,.363,.420,.272,.540,.986,.019,47,.068,.343,7,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,52,1991,.436,11.6,.807,.305,.223,.096,.182,.193,.476,.611,.385,.363,.420,.272,.540,.986,.019,14,.068,.343,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),,258,171,6414,.439,10.6,.810,.306,.225,.097,.183,.190,.477,.611,.388,.361,.422,.276,.537,.993,.019,47,.068,.324,7,0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,11,1,118,.319,15.6,.617,.255,.149,.085,.149,.383,.414,.583,.143,.500,.286,.167,.833,.667,.000,0,.056,1.000,0,0,
