"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,21,CLE,NBA,SG,61.0,48.0,1756.0,0.412,12.9,0.751,0.337,0.108,0.063,0.243,0.249,0.446,0.538,0.307,0.333,0.409,0.31,0.311,0.762,0.04,29.0,0.177,0.25,0.0,0.0,ROY-5
2013-14,22,CLE,NBA,SG,70.0,24.0,2072.0,0.433,14.0,0.748,0.284,0.074,0.099,0.292,0.252,0.455,0.525,0.288,0.449,0.431,0.368,0.355,0.87,0.035,29.0,0.204,0.373,1.0,0.0,6MOY-8
2014-15,23,2TM,NBA,SG,80.0,23.0,2208.0,0.396,12.6,0.74,0.335,0.089,0.055,0.261,0.26,0.431,0.508,0.286,0.423,0.385,0.297,0.371,0.849,0.024,20.0,0.447,0.336,0.0,0.0,
2014-15,23,CLE,NBA,SG,33.0,3.0,786.0,0.404,12.6,0.749,0.342,0.085,0.035,0.287,0.251,0.453,0.556,0.345,0.417,0.367,0.256,0.491,0.864,0.023,6.0,0.442,0.395,0.0,0.0,
2014-15,23,OKC,NBA,SG,47.0,20.0,1422.0,0.392,12.5,0.735,0.331,0.091,0.066,0.247,0.265,0.419,0.48,0.255,0.425,0.396,0.319,0.296,0.843,0.025,14.0,0.45,0.306,0.0,0.0,
2015-16,24,OKC,NBA,SG,78.0,15.0,2152.0,0.399,13.9,0.66,0.286,0.076,0.065,0.229,0.34,0.421,0.515,0.333,0.435,0.333,0.358,0.306,0.872,0.025,16.0,0.4,0.385,0.0,0.0,
2016-17,25,MIA,NBA,SG,46.0,43.0,1384.0,0.424,13.8,0.676,0.345,0.077,0.051,0.201,0.324,0.438,0.507,0.294,0.235,0.429,0.395,0.194,0.8,0.005,3.0,0.26,0.518,2.0,0.0,
2017-18,26,MIA,NBA,SG,30.0,30.0,918.0,0.398,15.0,0.585,0.246,0.124,0.046,0.168,0.415,0.463,0.614,0.333,0.421,0.348,0.306,0.171,0.769,0.007,3.0,0.271,0.391,1.0,0.0,
2018-19,27,MIA,NBA,SG,44.0,28.0,1138.0,0.414,17.8,0.395,0.226,0.056,0.036,0.077,0.605,0.471,0.546,0.407,0.118,0.459,0.377,0.281,0.826,0.0,0.0,0.287,0.434,1.0,0.0,
2019-20,28,2TM,NBA,SG,10.0,0.0,207.0,0.414,16.9,0.525,0.293,0.071,0.04,0.121,0.475,0.5,0.586,0.286,0.75,0.333,0.319,0.385,0.8,0.0,0.0,0.191,0.333,0.0,0.0,
2019-20,28,MIA,NBA,SG,3.0,0.0,42.0,0.385,19.3,0.346,0.192,0.038,0.0,0.115,0.654,0.222,0.2,0.0,,0.333,0.471,0.5,0.75,0.0,0.0,0.176,0.333,0.0,0.0,
2019-20,28,LAL,NBA,SG,7.0,0.0,165.0,0.425,14.6,0.589,0.329,0.082,0.055,0.123,0.411,0.558,0.667,0.333,0.75,0.333,0.233,0.375,0.857,0.0,0.0,0.2,0.333,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,419.0,211.0,11835.0,0.412,14.6,0.675,0.302,0.085,0.063,0.225,0.325,0.444,0.528,0.31,0.386,0.398,0.346,0.306,0.826,0.023,100.0,0.293,0.386,5.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,41.0,2316.0,0.412,14.6,0.675,0.302,0.085,0.063,0.225,0.325,0.444,0.528,0.31,0.386,0.398,0.346,0.306,0.826,0.023,20.0,0.293,0.386,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),,123.0,101.0,3482.0,0.413,16.5,0.562,0.281,0.082,0.044,0.153,0.438,0.449,0.537,0.331,0.257,0.409,0.368,0.209,0.803,0.004,6.0,0.272,0.447,4.0,0.0,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,164.0,75.0,4614.0,0.42,13.2,0.749,0.313,0.088,0.075,0.273,0.251,0.451,0.536,0.305,0.41,0.413,0.328,0.36,0.831,0.035,64.0,0.232,0.344,1.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,125.0,35.0,3574.0,0.396,13.2,0.695,0.307,0.083,0.066,0.237,0.305,0.42,0.498,0.294,0.43,0.363,0.343,0.301,0.861,0.025,30.0,0.42,0.351,0.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,7.0,0.0,165.0,0.425,14.6,0.589,0.329,0.082,0.055,0.123,0.411,0.558,0.667,0.333,0.75,0.333,0.233,0.375,0.857,0.0,0.0,0.2,0.333,0.0,0.0,
