Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2015-16,23,ATL,NBA,SG,9.0,0.0,9.7,0.8,2.9,0.269,0.2,1.6,0.143,0.6,1.3,0.417,0.308,0.4,0.7,0.667,0.0,1.0,1.0,0.8,0.0,0.1,0.3,0.2,2.2,
2016-17,24,ATL,NBA,SG,6.0,6.0,33.3,4.5,13.7,0.329,1.8,7.0,0.262,2.7,6.7,0.4,0.396,2.0,3.2,0.632,0.5,2.2,2.7,1.2,0.5,0.0,1.7,2.2,12.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,27,DAL,NBA,SG,6.0,6.0,34.0,6.7,15.8,0.421,3.2,9.0,0.352,3.5,6.8,0.512,0.521,1.3,1.8,0.727,0.5,3.0,3.5,1.8,0.3,0.0,0.5,2.7,17.8,
2020-21,28,DAL,NBA,SG,7.0,7.0,37.4,6.0,14.4,0.416,3.3,8.1,0.404,2.7,6.3,0.432,0.53,1.7,2.3,0.75,0.7,2.6,3.3,1.4,0.4,0.0,0.9,2.4,17.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,31,DAL,NBA,SF,14.0,0.0,12.7,1.6,4.1,0.379,0.9,2.6,0.351,0.6,1.5,0.429,0.491,0.3,0.6,0.5,0.1,1.6,1.8,0.4,0.4,0.1,0.1,0.7,4.4,
2024-25,32,DET,NBA,SG,6.0,6.0,31.3,4.0,11.8,0.338,2.7,8.7,0.308,1.3,3.2,0.421,0.451,1.3,1.7,0.8,0.3,2.5,2.8,1.2,0.3,0.0,1.5,1.7,12.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,48.0,25.0,23.3,3.4,9.0,0.374,1.8,5.3,0.328,1.6,3.7,0.441,0.471,1.0,1.5,0.686,0.3,2.0,2.3,1.0,0.3,0.0,0.7,1.4,9.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),,27.0,13.0,23.9,3.9,9.4,0.409,2.0,5.5,0.372,1.8,3.9,0.462,0.518,0.9,1.3,0.686,0.4,2.2,2.6,1.0,0.4,0.0,0.4,1.6,10.6,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,15.0,6.0,19.1,2.3,7.2,0.315,0.9,3.7,0.232,1.4,3.5,0.404,0.375,1.1,1.7,0.64,0.2,1.5,1.7,0.9,0.2,0.1,0.9,1.0,6.5,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,6.0,6.0,31.3,4.0,11.8,0.338,2.7,8.7,0.308,1.3,3.2,0.421,0.451,1.3,1.7,0.8,0.3,2.5,2.8,1.2,0.3,0.0,1.5,1.7,12.0,
