Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,21,NYK,NBA,SG,81.0,1.0,1875.0,294.0,687.0,0.428,130.0,358.0,0.363,164.0,329.0,0.498,0.523,106.0,128.0,0.828,19.0,102.0,121.0,66.0,44.0,7.0,47.0,144.0,824.0,0.0,"ROY-5,6MOY-13"
2014-15,22,NYK,NBA,SG,70.0,30.0,1681.0,279.0,717.0,0.389,121.0,354.0,0.342,158.0,363.0,0.435,0.474,125.0,156.0,0.801,12.0,144.0,156.0,127.0,20.0,14.0,82.0,119.0,804.0,0.0,
2015-16,23,ATL,NBA,SG,51.0,1.0,864.0,114.0,265.0,0.43,48.0,143.0,0.336,66.0,122.0,0.541,0.521,50.0,56.0,0.893,7.0,79.0,86.0,51.0,21.0,7.0,23.0,48.0,326.0,0.0,
2016-17,24,ATL,NBA,SG,79.0,30.0,2154.0,415.0,912.0,0.455,149.0,417.0,0.357,266.0,495.0,0.537,0.537,164.0,214.0,0.766,35.0,189.0,224.0,182.0,55.0,15.0,106.0,103.0,1143.0,0.0,6MOY-10
2017-18,25,NYK,NBA,SG,57.0,54.0,1885.0,360.0,856.0,0.421,130.0,410.0,0.317,230.0,446.0,0.516,0.496,146.0,179.0,0.816,32.0,192.0,224.0,155.0,62.0,10.0,92.0,123.0,996.0,0.0,
2018-19,26,2TM,NBA,SG,65.0,63.0,2057.0,390.0,993.0,0.393,162.0,477.0,0.34,228.0,516.0,0.442,0.474,232.0,276.0,0.841,33.0,189.0,222.0,159.0,54.0,8.0,105.0,141.0,1174.0,0.0,
2018-19,26,NYK,NBA,SG,46.0,46.0,1499.0,282.0,726.0,0.388,117.0,337.0,0.347,165.0,389.0,0.424,0.469,199.0,233.0,0.854,26.0,135.0,161.0,122.0,42.0,6.0,81.0,106.0,880.0,0.0,
2018-19,26,DAL,NBA,SG,19.0,17.0,558.0,108.0,267.0,0.404,45.0,140.0,0.321,63.0,127.0,0.496,0.489,33.0,43.0,0.767,7.0,54.0,61.0,37.0,12.0,2.0,24.0,35.0,294.0,0.0,
2019-20,27,DAL,NBA,SG,71.0,58.0,2091.0,384.0,884.0,0.434,204.0,513.0,0.398,180.0,371.0,0.485,0.55,149.0,182.0,0.819,25.0,207.0,232.0,137.0,41.0,5.0,69.0,125.0,1121.0,0.0,
2020-21,28,DAL,NBA,SG,70.0,31.0,1985.0,407.0,911.0,0.447,207.0,529.0,0.391,200.0,382.0,0.524,0.56,142.0,174.0,0.816,20.0,209.0,229.0,126.0,31.0,11.0,64.0,111.0,1163.0,0.0,6MOY-5
2021-22,29,DAL,NBA,SG,42.0,20.0,1245.0,209.0,530.0,0.394,102.0,304.0,0.336,107.0,226.0,0.473,0.491,78.0,103.0,0.757,13.0,143.0,156.0,92.0,38.0,6.0,34.0,74.0,598.0,0.0,
2022-23,30,DAL,NBA,SF,71.0,45.0,2152.0,340.0,847.0,0.401,212.0,550.0,0.385,128.0,297.0,0.431,0.527,127.0,165.0,0.77,21.0,230.0,251.0,129.0,49.0,12.0,60.0,120.0,1019.0,0.0,
2023-24,31,DAL,NBA,SF,79.0,12.0,2120.0,392.0,976.0,0.402,211.0,597.0,0.353,181.0,379.0,0.478,0.51,144.0,169.0,0.852,22.0,232.0,254.0,139.0,42.0,6.0,69.0,106.0,1139.0,0.0,6MOY-9
2024-25,32,DET,NBA,SG,77.0,77.0,2153.0,276.0,680.0,0.406,168.0,457.0,0.368,108.0,223.0,0.484,0.529,124.0,145.0,0.855,18.0,165.0,183.0,123.0,38.0,7.0,48.0,96.0,844.0,0.0,
2025-26,33,DEN,NBA,SG,14.0,1.0,319.0,52.0,115.0,0.452,34.0,75.0,0.453,18.0,40.0,0.45,0.6,17.0,18.0,0.944,4.0,22.0,26.0,20.0,8.0,1.0,3.0,17.0,155.0,0.0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,827.0,423.0,22581.0,3912.0,9373.0,0.417,1878.0,5184.0,0.362,2034.0,4189.0,0.486,0.518,1604.0,1965.0,0.816,261.0,2103.0,2364.0,1506.0,503.0,109.0,802.0,1327.0,11306.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,42.0,2239.0,388.0,929.0,0.417,186.0,514.0,0.362,202.0,415.0,0.486,0.518,159.0,195.0,0.816,26.0,209.0,234.0,149.0,50.0,11.0,80.0,132.0,1121.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (6 Yrs),DAL (6 Yrs),DAL (6 Yrs),DAL (6 Yrs),,352.0,183.0,10151.0,1840.0,4415.0,0.417,981.0,2633.0,0.373,859.0,1782.0,0.482,0.528,673.0,836.0,0.805,108.0,1075.0,1183.0,660.0,213.0,42.0,320.0,571.0,5334.0,0.0,
NYK (4 Yrs),NYK (4 Yrs),NYK (4 Yrs),NYK (4 Yrs),,254.0,131.0,6940.0,1215.0,2986.0,0.407,498.0,1459.0,0.341,717.0,1527.0,0.47,0.49,576.0,696.0,0.828,89.0,573.0,662.0,470.0,168.0,37.0,302.0,492.0,3504.0,0.0,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,130.0,31.0,3018.0,529.0,1177.0,0.449,197.0,560.0,0.352,332.0,617.0,0.538,0.533,214.0,270.0,0.793,42.0,268.0,310.0,233.0,76.0,22.0,129.0,151.0,1469.0,0.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,77.0,77.0,2153.0,276.0,680.0,0.406,168.0,457.0,0.368,108.0,223.0,0.484,0.529,124.0,145.0,0.855,18.0,165.0,183.0,123.0,38.0,7.0,48.0,96.0,844.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,14.0,1.0,319.0,52.0,115.0,0.452,34.0,75.0,0.453,18.0,40.0,0.45,0.6,17.0,18.0,0.944,4.0,22.0,26.0,20.0,8.0,1.0,3.0,17.0,155.0,0.0,
