Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2013-14,21,ORL,NBA,PG,80,44,2487,5.7,13.5,.419,1.1,3.3,.327,4.6,10.3,.448,.458,3.6,4.6,.780,0.6,4.1,4.8,4.7,1.9,0.5,3.7,3.0,16.0,ROY-2
2014-15,22,ORL,NBA,SG,72,71,2573,6.6,15.2,.436,1.2,3.5,.339,5.4,11.7,.464,.474,3.7,4.5,.819,0.7,3.5,4.2,4.1,1.7,0.3,2.9,2.6,18.1,
2015-16,23,ORL,NBA,SG,72,52,2379,6.4,14.7,.438,1.5,4.3,.348,4.9,10.4,.475,.489,3.1,3.7,.830,0.7,4.5,5.2,4.3,1.8,0.8,2.3,2.6,17.4,
2016-17,24,OKC,NBA,SG,67,67,2222,6.7,15.1,.442,2.1,5.7,.361,4.6,9.4,.491,.510,1.9,2.5,.753,0.6,4.1,4.7,2.9,1.3,0.3,1.9,2.5,17.3,
2017-18,25,IND,NBA,SG,75,75,2552,9.0,18.9,.477,2.3,6.1,.371,6.8,12.8,.528,.537,4.1,5.2,.799,0.7,4.8,5.5,4.6,2.5,0.8,3.1,2.5,24.5,"MVP-13,DPOY-15,MIP-1,AS,NBA3,DEF1"
2018-19,26,IND,NBA,SG,36,36,1147,7.8,18.5,.423,2.3,6.8,.343,5.5,11.7,.470,.486,3.2,4.4,.730,0.7,5.7,6.3,5.8,1.9,0.3,2.6,2.3,21.2,AS
2019-20,27,IND,NBA,SG,19,16,528,6.6,16.8,.394,2.3,7.1,.317,4.4,9.7,.451,.461,3.3,4.0,.814,0.6,4.5,5.1,3.8,1.2,0.3,3.2,2.5,18.7,
2020-21,28,3TM,NBA,SG,33,33,1080,7.8,19.2,.408,2.6,8.0,.326,5.2,11.2,.466,.476,3.5,4.6,.754,0.4,4.9,5.3,5.0,1.5,0.5,2.8,2.7,21.7,
2020-21,28,IND,NBA,SG,9,9,300,7.7,18.2,.421,3.0,8.3,.362,4.7,10.0,.470,.503,3.2,4.4,.730,0.1,6.0,6.1,4.6,1.8,0.2,2.2,2.8,21.6,
2020-21,28,HOU,NBA,SG,20,20,669,8.3,20.5,.407,2.6,8.2,.320,5.7,12.3,.465,.471,3.5,4.5,.783,0.4,4.7,5.1,5.3,1.3,0.5,2.7,2.4,22.8,
2020-21,28,MIA,NBA,SG,4,4,111,5.2,13.9,.372,1.3,5.5,.235,3.9,8.4,.462,.419,3.9,5.8,.667,1.0,3.6,4.5,4.5,2.3,0.6,4.5,4.2,15.6,
2021-22,29,MIA,NBA,SG,8,1,173,7.3,15.2,.479,3.1,7.5,.417,4.2,7.7,.541,.582,2.9,4.0,.737,0.6,4.2,4.8,5.8,1.0,0.2,3.3,2.7,20.6,
2022-23,30,MIA,NBA,SG,42,2,1106,5.2,13.1,.397,2.3,6.9,.330,2.9,6.2,.471,.484,1.9,2.6,.747,0.5,3.6,4.2,4.8,1.9,0.4,2.8,3.2,14.6,
2023-24,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,504,397,16247,6.9,15.8,.436,1.8,5.2,.347,5.1,10.6,.480,.493,3.2,4.1,.788,0.6,4.3,5.0,4.4,1.8,0.5,2.8,2.7,18.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),,139,136,4527,8.3,18.5,.451,2.3,6.5,.356,6.0,12.0,.503,.514,3.8,4.8,.780,0.6,5.1,5.7,4.8,2.1,0.6,2.9,2.4,22.8,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,224,167,7439,6.2,14.5,.431,1.2,3.7,.339,5.0,10.8,.462,.474,3.5,4.3,.808,0.7,4.0,4.7,4.4,1.8,0.5,3.0,2.8,17.2,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,54,7,1390,5.5,13.4,.407,2.3,6.9,.336,3.2,6.6,.480,.492,2.2,3.0,.733,0.6,3.7,4.3,4.9,1.8,0.4,3.0,3.2,15.4,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,67,67,2222,6.7,15.1,.442,2.1,5.7,.361,4.6,9.4,.491,.510,1.9,2.5,.753,0.6,4.1,4.7,2.9,1.3,0.3,1.9,2.5,17.3,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,20,20,669,8.3,20.5,.407,2.6,8.2,.320,5.7,12.3,.465,.471,3.5,4.5,.783,0.4,4.7,5.1,5.3,1.3,0.5,2.7,2.4,22.8,
