"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2013-14,23,BRK,NBA,C,70.0,22.0,1275.0,0.659,0.666,0.0,0.659,0.626,0.67,0.646,0.01,145.0,136.0,0.0,132.0,83.0,124.0,227.0,4.0,95.3,100.5,ROY-4
2014-15,24,BRK,NBA,C,82.0,45.0,1743.0,0.573,0.576,0.0,0.573,0.495,0.57,0.648,0.006,128.0,119.0,0.0,115.0,66.0,107.0,237.0,2.0,75.0,45.6,
2015-16,25,POR,NBA,C,82.0,82.0,2084.0,0.516,0.52,0.0,0.516,0.642,0.564,0.648,0.008,114.0,106.0,0.0,103.0,85.0,104.0,235.0,3.0,14.4,29.8,
2016-17,26,2TM,NBA,C,81.0,64.0,2148.0,0.536,0.541,0.0,0.536,0.58,0.558,0.482,0.01,117.0,108.0,0.0,104.0,75.0,101.0,178.0,3.0,27.9,7.9,
2016-17,26,POR,NBA,C,54.0,54.0,1516.0,0.532,0.538,0.0,0.532,0.567,0.552,0.507,0.011,116.0,107.0,0.0,104.0,73.0,100.0,187.0,4.0,15.9,-0.2,
2016-17,26,DEN,NBA,C,27.0,10.0,632.0,0.547,0.55,0.0,0.547,0.618,0.571,0.42,0.006,120.0,109.0,0.0,106.0,80.0,103.0,155.0,2.0,12.0,8.1,
2017-18,27,DEN,NBA,C,74.0,26.0,1439.0,0.601,0.602,0.0,0.601,0.458,0.586,0.486,0.003,130.0,118.0,0.0,115.0,60.0,105.0,193.0,1.0,58.4,27.1,
2018-19,28,DEN,NBA,C,82.0,17.0,1731.0,0.593,0.602,0.2,0.595,0.561,0.602,0.448,0.023,129.0,116.0,56.0,114.0,73.0,108.0,173.0,6.0,62.6,44.8,
2019-20,29,DEN,NBA,C,61.0,1.0,1057.0,0.615,0.625,0.0,0.615,0.535,0.613,0.538,0.017,134.0,119.0,0.0,116.0,69.0,109.0,207.0,5.0,49.4,34.7,
2020-21,30,DET,NBA,C,56.0,56.0,1499.0,0.614,0.626,0.0,0.614,0.669,0.638,0.444,0.018,132.0,118.0,0.0,114.0,86.0,112.0,180.0,5.0,58.1,60.3,
2021-22,31,CHO,NBA,C,73.0,73.0,1793.0,0.641,0.645,0.0,0.641,0.392,0.603,0.534,0.006,139.0,121.0,0.0,120.0,51.0,107.0,215.0,2.0,69.7,29.6,
2022-23,32,2TM,NBA,C,79.0,60.0,2054.0,0.68,0.68,,0.68,0.636,0.689,0.647,0.0,143.0,124.0,,125.0,81.0,119.0,243.0,0.0,130.2,134.2,
