"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2014-15,19.0,ORL,NBA,34:13,6.0,14.0,2.0,3.0,5.0,12.0,4.0,5.0,5.0,8.0,12.0,3.0,2.0,2.0,3.0,5.0,17.0,17.4
2015-16,20.0,ORL,NBA,39:08,9.0,17.0,2.0,4.0,8.0,14.0,8.0,10.0,6.0,13.0,16.0,6.0,6.0,4.0,3.0,6.0,22.0,23.4
2016-17,21.0,ORL,NBA,40:31,13.0,24.0,4.0,10.0,9.0,19.0,9.0,11.0,5.0,11.0,16.0,7.0,4.0,4.0,5.0,6.0,33.0,28.4
2017-18,22.0,ORL,NBA,45:10,14.0,26.0,6.0,12.0,12.0,18.0,8.0,11.0,5.0,15.0,15.0,8.0,4.0,4.0,7.0,6.0,41.0,38.5
2018-19,23.0,ORL,NBA,42:20,13.0,20.0,4.0,10.0,10.0,15.0,13.0,13.0,6.0,12.0,16.0,10.0,3.0,3.0,8.0,6.0,31.0,25.4
2019-20,24.0,ORL,NBA,42:48,13.0,20.0,5.0,7.0,9.0,17.0,8.0,10.0,6.0,12.0,14.0,12.0,3.0,3.0,6.0,6.0,32.0,30.9
2020-21,25.0,TOT,NBA,38:43,14.0,20.0,7.0,9.0,9.0,12.0,6.0,10.0,7.0,10.0,17.0,10.0,4.0,4.0,7.0,5.0,38.0,27.8
2020-21,25.0,ORL,NBA,37:23,14.0,20.0,7.0,9.0,7.0,12.0,6.0,10.0,7.0,10.0,17.0,10.0,4.0,4.0,7.0,5.0,38.0,27.8
2020-21,25.0,DEN,NBA,38:43,10.0,14.0,2.0,5.0,9.0,12.0,4.0,5.0,5.0,6.0,9.0,6.0,3.0,4.0,3.0,5.0,24.0,23.2
2021-22,26.0,DEN,NBA,43:40,11.0,18.0,4.0,8.0,10.0,15.0,10.0,15.0,6.0,11.0,13.0,9.0,3.0,3.0,7.0,6.0,30.0,30.5
2022-23,27.0,DEN,NBA,41:26,15.0,24.0,4.0,6.0,12.0,19.0,7.0,13.0,12.0,12.0,16.0,8.0,4.0,4.0,5.0,6.0,37.0,33.6
2023-24,28.0,DEN,NBA,41:34,11.0,21.0,2.0,6.0,10.0,19.0,8.0,14.0,8.0,12.0,15.0,9.0,3.0,4.0,4.0,6.0,30.0,28.1
2024-25,29.0,DEN,NBA,46:39,14.0,23.0,7.0,10.0,11.0,17.0,10.0,12.0,5.0,10.0,11.0,12.0,2.0,1.0,7.0,4.0,38.0,28.9
2025-26,30.0,DEN,NBA,38:39,17.0,21.0,10.0,11.0,9.0,13.0,6.0,7.0,5.0,9.0,10.0,3.0,3.0,2.0,3.0,5.0,50.0,44.2
Career,,,,46:39,17.0,26.0,10.0,12.0,12.0,19.0,13.0,15.0,12.0,15.0,17.0,12.0,6.0,4.0,8.0,6.0,50.0,44.2
,,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,ORL,NBA,45:10,14.0,26.0,7.0,12.0,12.0,19.0,13.0,13.0,7.0,15.0,17.0,12.0,6.0,4.0,8.0,6.0,41.0,38.5
6 Seasons,,DEN,NBA,46:39,17.0,24.0,10.0,11.0,12.0,19.0,10.0,15.0,12.0,12.0,16.0,12.0,4.0,4.0,7.0,6.0,50.0,44.2
