"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2015-16,19,MIN,NBA,PG,37.0,0.0,573.0,100.0,0.0,0.0,0.0,0.0,-10.2,-8.1,27.0,5.0,19.0,1.0,16.0,4.0,243.0,3.0,12.0,
2016-17,20,MIN,NBA,PG,60.0,0.0,774.0,99.0,1.0,0.0,0.0,0.0,1.6,3.2,25.0,10.0,20.0,1.0,16.0,8.0,356.0,3.0,4.0,
2017-18,21,MIN,NBA,PG,82.0,11.0,1467.0,98.0,2.0,0.0,0.0,0.0,6.4,6.1,33.0,11.0,52.0,10.0,37.0,11.0,544.0,10.0,18.0,
2018-19,22,MIN,NBA,PG,68.0,23.0,1560.0,99.0,1.0,0.0,0.0,0.0,0.1,2.8,37.0,4.0,32.0,3.0,26.0,11.0,781.0,5.0,21.0,
2019-20,23,MEM,NBA,PG,65.0,6.0,1232.0,100.0,0.0,0.0,0.0,0.0,-1.8,-1.7,39.0,7.0,19.0,3.0,16.0,8.0,689.0,1.0,25.0,
2020-21,24,MEM,NBA,PG,70.0,9.0,1222.0,100.0,0.0,0.0,0.0,0.0,-3.0,-6.6,39.0,6.0,10.0,3.0,21.0,5.0,618.0,3.0,14.0,
2021-22,25,MEM,NBA,PG,73.0,23.0,1549.0,88.0,13.0,0.0,0.0,0.0,8.0,3.5,27.0,12.0,13.0,2.0,19.0,4.0,792.0,5.0,18.0,6MOY-11
2022-23,26,MEM,NBA,PG,80.0,22.0,1940.0,78.0,23.0,0.0,0.0,0.0,1.4,-4.2,57.0,10.0,14.0,4.0,29.0,11.0,1009.0,7.0,14.0,6MOY-6
2023-24,27,WAS,NBA,PG,66.0,66.0,1933.0,100.0,0.0,0.0,0.0,0.0,-12.4,-6.1,55.0,8.0,19.0,2.0,19.0,12.0,1155.0,6.0,23.0,
2024-25,28,PHO,NBA,PG,81.0,58.0,2174.0,96.0,4.0,0.0,0.0,0.0,-3.1,-0.7,67.0,11.0,29.0,3.0,17.0,13.0,1072.0,3.0,26.0,
2025-26,29,ORL,NBA,PG,15.0,1.0,193.0,100.0,0.0,0.0,0.0,0.0,-18.3,-28.3,6.0,0.0,5.0,0.0,0.0,2.0,52.0,0.0,2.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,697.0,219.0,14617.0,95.0,5.0,0.0,0.0,0.0,-1.4,-1.4,412.0,84.0,232.0,32.0,216.0,89.0,7311.0,46.0,177.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,26.0,1720.0,95.0,5.0,0.0,0.0,0.0,-1.4,-1.4,48.0,10.0,27.0,4.0,25.0,10.0,860.0,5.0,21.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MEM (4 Yrs),MEM (4 Yrs),MEM (4 Yrs),MEM (4 Yrs),,288.0,60.0,5943.0,89.0,11.0,0.0,0.0,0.0,1.6,-2.2,162.0,35.0,56.0,12.0,85.0,28.0,3108.0,16.0,71.0,
MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),,247.0,34.0,4374.0,99.0,1.0,0.0,0.0,0.0,1.1,2.6,122.0,30.0,123.0,15.0,95.0,34.0,1924.0,21.0,55.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,81.0,58.0,2174.0,96.0,4.0,0.0,0.0,0.0,-3.1,-0.7,67.0,11.0,29.0,3.0,17.0,13.0,1072.0,3.0,26.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,66.0,66.0,1933.0,100.0,0.0,0.0,0.0,0.0,-12.4,-6.1,55.0,8.0,19.0,2.0,19.0,12.0,1155.0,6.0,23.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,15.0,1.0,193.0,100.0,0.0,0.0,0.0,0.0,-18.3,-28.3,6.0,0.0,5.0,0.0,0.0,2.0,52.0,0.0,2.0,
