Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2017-18,22,MIN,NBA,C,5.0,5.0,170.0,16.9,0.542,0.183,0.383,9.9,32.2,21.4,10.3,0.6,3.2,14.6,22.0,0.1,0.1,0.2,0.066,1.3,-0.6,0.8,0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,26,MIN,NBA,C,6.0,6.0,222.0,17.3,0.642,0.275,0.625,5.8,25.7,16.3,10.1,0.8,4.6,20.9,24.9,0.2,0.3,0.5,0.098,0.2,0.2,0.4,0.1,
2022-23,27,MIN,NBA,PF,5.0,5.0,180.0,12.2,0.553,0.343,0.4,3.8,29.9,16.5,9.4,0.9,2.0,17.9,25.8,-0.2,0.1,-0.1,-0.02,-3.1,-0.7,-3.8,-0.1,
2023-24,28,MIN,NBA,PF,16.0,16.0,522.0,19.2,0.581,0.358,0.297,8.0,24.7,16.3,13.4,1.2,0.5,9.3,25.2,1.1,0.6,1.7,0.155,2.2,0.6,2.8,0.6,
2024-25,29,NYK,NBA,C,18.0,18.0,639.0,19.1,0.589,0.26,0.34,6.7,31.6,18.9,6.3,1.0,1.9,10.9,25.0,1.0,0.8,1.9,0.142,1.6,-0.2,1.4,0.5,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,50.0,50.0,1733.0,17.9,0.586,0.294,0.367,7.0,28.7,17.8,9.6,1.0,2.0,12.8,24.8,2.2,2.0,4.2,0.116,1.1,0.0,1.1,1.3,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2842.0,17.9,0.586,0.294,0.367,7.0,28.7,17.8,9.6,1.0,2.0,12.8,24.8,3.6,3.3,6.9,0.116,1.1,0.0,1.1,2.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),,32.0,32.0,1094.0,17.3,0.583,0.317,0.385,7.1,26.9,17.1,11.6,1.0,2.0,14.0,24.8,1.2,1.1,2.3,0.101,0.8,0.1,0.9,0.8,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,18.0,18.0,639.0,19.1,0.589,0.26,0.34,6.7,31.6,18.9,6.3,1.0,1.9,10.9,25.0,1.0,0.8,1.9,0.142,1.6,-0.2,1.4,0.5,
