"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dragan Bender,,0.5,0.3,0.1,-0.3
Anthony Bennett,79.4,0.5,0.3,0.1,-0.4
Gene James,51.8,0.5,0.3,0.1,
Devontae Cacok,42.9,0.5,0.3,0.0,
Josh Davis,38.0,0.5,0.3,0.0,0.0
Mark Randall,37.6,0.5,0.3,0.2,0.0
Kelan Martin,37.1,0.4,0.2,0.0,
Alex Poythress,36.2,0.5,0.3,0.1,
KZ Okpala,35.2,0.5,0.3,0.1,0.1
Matt Ryan,35.2,0.5,0.3,0.0,-0.1
Anthony Cook,34.7,0.5,0.4,0.1,0.1
