Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2017-18,20,ATL,NBA,PF,74.0,26.0,1785.0,314.0,545.0,0.576,16.0,47.0,0.34,298.0,498.0,0.598,0.591,133.0,186.0,0.715,176.0,365.0,541.0,98.0,47.0,80.0,105.0,215.0,777.0,0.0,
2018-19,21,ATL,NBA,PF,61.0,59.0,1829.0,465.0,831.0,0.56,55.0,158.0,0.348,410.0,673.0,0.609,0.593,203.0,266.0,0.763,219.0,376.0,595.0,121.0,22.0,39.0,120.0,199.0,1188.0,0.0,
2019-20,22,ATL,NBA,PF,41.0,41.0,1363.0,353.0,605.0,0.583,59.0,147.0,0.401,294.0,458.0,0.642,0.632,120.0,150.0,0.8,116.0,300.0,416.0,60.0,31.0,66.0,75.0,138.0,885.0,0.0,
2020-21,23,ATL,NBA,PF,63.0,63.0,1848.0,429.0,771.0,0.556,83.0,208.0,0.399,346.0,563.0,0.615,0.61,170.0,204.0,0.833,118.0,349.0,467.0,78.0,34.0,63.0,84.0,193.0,1111.0,0.0,
2021-22,24,ATL,NBA,PF,54.0,53.0,1663.0,339.0,644.0,0.526,64.0,176.0,0.364,275.0,468.0,0.588,0.576,134.0,169.0,0.793,93.0,329.0,422.0,98.0,33.0,56.0,60.0,164.0,876.0,0.0,
2022-23,25,ATL,NBA,PF,71.0,71.0,2130.0,359.0,707.0,0.508,70.0,240.0,0.292,289.0,467.0,0.619,0.557,143.0,178.0,0.803,77.0,385.0,462.0,85.0,42.0,73.0,79.0,220.0,931.0,0.0,
2023-24,26,UTA,NBA,PF,68.0,66.0,1901.0,397.0,746.0,0.532,86.0,232.0,0.371,311.0,514.0,0.605,0.59,147.0,185.0,0.795,157.0,418.0,575.0,77.0,40.0,61.0,98.0,191.0,1027.0,0.0,
2024-25,27,UTA,NBA,PF,40.0,31.0,1220.0,280.0,531.0,0.527,59.0,148.0,0.399,221.0,383.0,0.577,0.583,139.0,164.0,0.848,89.0,238.0,327.0,80.0,39.0,40.0,103.0,116.0,758.0,0.0,
2025-26,28,LAC,NBA,PF,14.0,5.0,355.0,65.0,129.0,0.504,12.0,36.0,0.333,53.0,93.0,0.57,0.55,25.0,31.0,0.806,19.0,48.0,67.0,9.0,12.0,7.0,27.0,32.0,167.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,486.0,415.0,14094.0,3001.0,5509.0,0.545,504.0,1392.0,0.362,2497.0,4117.0,0.607,0.59,1214.0,1533.0,0.792,1064.0,2808.0,3872.0,706.0,300.0,485.0,751.0,1468.0,7720.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,70.0,2378.0,506.0,930.0,0.545,85.0,235.0,0.362,421.0,695.0,0.607,0.59,205.0,259.0,0.792,180.0,474.0,653.0,119.0,51.0,82.0,127.0,248.0,1303.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (6 Yrs),ATL (6 Yrs),ATL (6 Yrs),ATL (6 Yrs),,364.0,313.0,10618.0,2259.0,4103.0,0.551,347.0,976.0,0.356,1912.0,3127.0,0.611,0.593,903.0,1153.0,0.783,799.0,2104.0,2903.0,540.0,209.0,377.0,523.0,1129.0,5768.0,0.0,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,108.0,97.0,3121.0,677.0,1277.0,0.53,145.0,380.0,0.382,532.0,897.0,0.593,0.587,286.0,349.0,0.819,246.0,656.0,902.0,157.0,79.0,101.0,201.0,307.0,1785.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,14.0,5.0,355.0,65.0,129.0,0.504,12.0,36.0,0.333,53.0,93.0,0.57,0.55,25.0,31.0,0.806,19.0,48.0,67.0,9.0,12.0,7.0,27.0,32.0,167.0,0.0,
