"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Nic Claxton,,9.2,6.7,4.3,3.5,1.9,0.5,,
Mike Lewis,84.5,7.9,7.5,4.0,3.8,1.1,0.0,,
George Ratkovicz,82.6,9.3,6.0,5.4,5.2,2.8,-0.1,,
Steve Stipanovich,81.0,9.0,6.9,5.9,5.0,3.6,,,
Tom Burleson,80.7,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,
Bob Rule,79.6,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0
Robert Williams,79.2,9.9,5.3,3.8,2.0,1.3,1.2,0.4,
Alperen ÅengÃ¼n,78.0,8.3,6.9,5.2,2.1,,,,
Gene Moore,77.9,6.8,5.7,5.0,4.5,1.9,0.8,0.0,
Stan Miasek,77.0,10.3,5.8,5.5,4.1,3.5,2.1,,
Don Otten,75.3,8.5,5.8,4.9,1.7,,,,
