Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,22,PHO,NBA,SG,31.0,0.0,10.6,1.2,3.6,0.336,0.5,1.6,0.28,0.8,2.0,0.381,0.398,0.4,0.5,0.75,0.2,1.3,1.5,1.4,0.5,0.1,0.6,0.9,3.3,
2020-21,23,OKC,NBA,SG,33.0,1.0,23.9,3.9,8.7,0.446,2.2,5.1,0.423,1.7,3.6,0.479,0.57,0.8,1.0,0.765,0.3,2.5,2.8,3.6,0.6,0.2,1.4,1.8,10.7,
2021-22,24,OKC,NBA,SG,48.0,4.0,16.7,2.6,6.8,0.378,1.1,3.9,0.29,1.5,3.0,0.493,0.46,0.8,1.0,0.809,0.4,1.2,1.6,2.3,0.6,0.1,0.8,1.5,7.1,
2022-23,25,GSW,NBA,SG,45.0,2.0,18.1,2.6,5.4,0.488,0.8,2.0,0.389,1.8,3.4,0.546,0.56,0.8,0.9,0.927,0.2,1.6,1.7,3.0,0.5,0.1,0.7,1.4,6.9,
2023-24,26,CLE,NBA,SG,2.0,0.0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0,
2024-25,27,CLE,NBA,SG,70.0,3.0,19.9,4.6,8.8,0.516,1.6,3.6,0.439,3.0,5.2,0.57,0.606,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5,6MOY-3
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,229.0,10.0,18.1,3.2,7.0,0.458,1.2,3.3,0.381,1.9,3.7,0.526,0.547,1.1,1.2,0.85,0.4,1.6,2.0,2.8,0.7,0.1,1.0,1.4,8.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,81.0,5.0,19.6,3.1,7.6,0.41,1.5,4.4,0.353,1.6,3.2,0.487,0.511,0.8,1.0,0.79,0.4,1.7,2.1,2.8,0.6,0.1,1.0,1.7,8.6,
CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,72.0,3.0,19.5,4.5,8.6,0.516,1.5,3.5,0.437,2.9,5.1,0.571,0.605,1.8,2.1,0.872,0.7,1.7,2.4,3.3,1.1,0.0,1.3,1.4,12.3,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,45.0,2.0,18.1,2.6,5.4,0.488,0.8,2.0,0.389,1.8,3.4,0.546,0.56,0.8,0.9,0.927,0.2,1.6,1.7,3.0,0.5,0.1,0.7,1.4,6.9,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,31.0,0.0,10.6,1.2,3.6,0.336,0.5,1.6,0.28,0.8,2.0,0.381,0.398,0.4,0.5,0.75,0.2,1.3,1.5,1.4,0.5,0.1,0.6,0.9,3.3,
