"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Chuma Okeke,,2.2,1.3,0.7,0.6,0.3,,,
Pete Verhoeven,90.4,2.1,1.2,0.8,0.7,0.4,0.0,,
Bob Portman,82.2,1.9,1.2,0.8,0.5,,,,
Solomon Jones,81.7,1.9,1.6,0.8,0.5,0.3,0.0,0.0,-0.1
Henry Walker,81.6,1.9,1.1,0.9,0.5,0.5,,,
Semi Ojeleye,80.2,1.9,1.2,1.2,0.7,0.2,,,
Tellis Frank,80.1,2.0,1.1,0.6,0.3,0.1,,,
Tony Brown,80.0,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
Lamar Stevens,80.0,1.9,1.6,0.8,0.4,0.2,,,
DeAndre' Bembry,79.4,2.2,1.2,0.9,0.3,0.2,-0.4,,
Stan Love,79.4,2.2,2.1,0.7,0.6,,,,
