Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,21,BOS,NBA,SF,46.0,1.0,669.0,5.7,13.0,0.438,2.9,7.9,0.37,2.8,5.1,0.543,0.551,1.6,2.0,0.786,2.0,7.2,9.3,1.7,1.1,0.7,1.7,6.4,15.9,113.0,114.0,
2021-22,22,BOS,NBA,SF,52.0,3.0,574.0,6.2,15.8,0.396,2.7,10.0,0.27,3.5,5.8,0.612,0.481,1.8,2.3,0.808,1.3,6.4,7.7,1.9,1.7,0.4,2.7,6.1,17.0,95.0,108.0,
2022-23,23,IND,NBA,SF,73.0,60.0,1816.0,6.6,15.4,0.427,3.0,8.2,0.366,3.6,7.2,0.496,0.525,3.1,3.7,0.838,1.6,5.6,7.2,2.6,1.4,0.9,2.0,6.1,19.3,111.0,119.0,
2023-24,24,IND,NBA,SF,72.0,47.0,1995.0,7.4,15.0,0.496,3.3,7.9,0.419,4.1,7.1,0.581,0.606,2.5,3.2,0.781,1.5,5.0,6.5,2.6,1.5,1.2,1.5,5.7,20.7,123.0,119.0,
2024-25,25,IND,NBA,SF,45.0,37.0,1123.0,8.2,16.2,0.507,3.6,8.3,0.431,4.6,7.9,0.587,0.617,3.1,3.4,0.913,1.6,6.0,7.6,2.3,1.5,0.7,1.6,4.9,23.2,124.0,116.0,
2025-26,26,IND,NBA,SF,11.0,11.0,335.0,7.7,20.9,0.367,4.4,11.8,0.373,3.3,9.1,0.359,0.473,4.4,5.5,0.795,2.4,4.5,7.0,2.4,1.3,0.4,1.1,3.8,24.1,112.0,119.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,299.0,159.0,6512.0,7.1,15.5,0.456,3.2,8.4,0.384,3.8,7.1,0.543,0.561,2.7,3.3,0.825,1.6,5.7,7.3,2.4,1.5,0.9,1.7,5.7,20.1,116.0,117.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),,201.0,155.0,5269.0,7.3,15.8,0.464,3.3,8.3,0.4,4.0,7.4,0.537,0.57,3.0,3.6,0.829,1.6,5.4,7.0,2.5,1.5,0.9,1.7,5.6,21.0,118.0,118.0,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,98.0,4.0,1243.0,5.9,14.3,0.417,2.8,8.8,0.318,3.1,5.4,0.577,0.515,1.7,2.1,0.796,1.7,6.9,8.6,1.8,1.4,0.6,2.1,6.2,16.4,104.0,111.0,
