"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2021-22,21,OKC,NBA,C,49.0,36.0,1087.0,0.414,15.3,0.491,0.244,0.151,0.062,0.034,0.509,0.478,0.608,0.429,0.2,0.273,0.352,0.75,1.0,0.056,15.0,0.279,0.348,0.0,0.0,
2022-23,22,OKC,NBA,PF,43.0,20.0,814.0,0.444,12.9,0.552,0.395,0.101,0.02,0.036,0.448,0.533,0.612,0.32,0.6,0.222,0.333,0.795,1.0,0.085,18.0,0.351,0.333,0.0,0.0,
2023-24,23,NOP,NBA,PF,39.0,1.0,334.0,0.474,13.0,0.589,0.284,0.211,0.063,0.032,0.411,0.571,0.63,0.5,0.833,0.0,0.333,0.75,1.0,0.084,7.0,0.513,0.4,0.0,0.0,
2024-25,24,NOP,NBA,PF,66.0,9.0,1239.0,0.455,14.0,0.527,0.294,0.135,0.066,0.032,0.473,0.557,0.686,0.362,0.391,0.545,0.341,0.696,0.964,0.026,8.0,0.543,0.427,0.0,0.0,
2025-26,25,IND,NBA,PF,16.0,3.0,296.0,0.354,12.3,0.608,0.354,0.165,0.063,0.025,0.392,0.417,0.464,0.231,0.6,0.5,0.258,0.5,1.0,0.025,2.0,0.452,0.214,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,213.0,69.0,3770.0,0.435,13.5,0.533,0.306,0.141,0.054,0.033,0.467,0.52,0.623,0.383,0.407,0.333,0.337,0.726,0.988,0.053,50.0,0.408,0.375,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,27.0,1451.0,0.435,13.5,0.533,0.306,0.141,0.054,0.033,0.467,0.52,0.623,0.383,0.407,0.333,0.337,0.726,0.988,0.053,19.0,0.408,0.375,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,105.0,10.0,1573.0,0.459,13.5,0.541,0.292,0.152,0.066,0.032,0.459,0.561,0.674,0.403,0.483,0.429,0.34,0.709,0.971,0.038,15.0,0.537,0.422,0.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,92.0,56.0,1901.0,0.427,14.1,0.517,0.309,0.129,0.044,0.035,0.483,0.503,0.61,0.392,0.28,0.25,0.344,0.772,1.0,0.068,33.0,0.308,0.341,0.0,0.0,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,16.0,3.0,296.0,0.354,12.3,0.608,0.354,0.165,0.063,0.025,0.392,0.417,0.464,0.231,0.6,0.5,0.258,0.5,1.0,0.025,2.0,0.452,0.214,0.0,0.0,
