"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2022-23,21,MEM,NBA,PF,35.0,0.0,414.0,0.389,0.542,0.338,0.516,0.778,0.531,0.095,0.747,82.0,99.0,94.0,95.0,99.0,91.0,36.0,193.0,-5.6,-10.0,
2023-24,22,MEM,NBA,PF,35.0,6.0,806.0,0.389,0.442,0.34,0.477,0.826,0.54,0.36,0.515,82.0,81.0,93.0,87.0,105.0,93.0,147.0,130.0,-42.2,-28.1,
2024-25,23,2TM,NBA,PF,66.0,0.0,1349.0,0.475,0.513,0.423,0.564,0.678,0.591,0.341,0.421,102.0,94.0,117.0,104.0,87.0,103.0,141.0,100.0,13.9,11.3,
2024-25,23,MEM,NBA,PF,47.0,0.0,982.0,0.49,0.517,0.444,0.573,0.698,0.605,0.398,0.373,105.0,95.0,123.0,105.0,89.0,105.0,164.0,89.0,14.2,16.6,
2024-25,23,SAC,NBA,PF,19.0,0.0,367.0,0.438,0.5,0.385,0.542,0.579,0.551,0.198,0.542,94.0,92.0,107.0,100.0,74.0,96.0,81.0,129.0,-0.3,-5.3,
2025-26,24,LAL,NBA,PF,20.0,6.0,513.0,0.465,0.56,0.333,0.535,0.667,0.558,0.271,0.417,99.0,102.0,93.0,98.0,85.0,96.0,96.0,100.0,-2.7,-7.9,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,156.0,12.0,3082.0,0.435,0.5,0.366,0.524,0.739,0.562,0.309,0.488,92.0,92.0,101.0,96.0,94.0,97.0,124.0,121.0,-36.6,-34.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,117.0,6.0,2202.0,0.427,0.484,0.369,0.519,0.766,0.564,0.335,0.496,90.0,89.0,102.0,95.0,98.0,97.0,137.0,124.0,-33.6,-21.5,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,20.0,6.0,513.0,0.465,0.56,0.333,0.535,0.667,0.558,0.271,0.417,99.0,102.0,93.0,98.0,85.0,96.0,96.0,100.0,-2.7,-7.9,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,19.0,0.0,367.0,0.438,0.5,0.385,0.542,0.579,0.551,0.198,0.542,94.0,92.0,107.0,100.0,74.0,96.0,81.0,129.0,-0.3,-5.3,
