"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2022-23,21,MEM,NBA,PF,70.0,4.0,1258.0,0.429,14.5,0.495,0.271,0.183,0.026,0.014,0.505,0.553,0.711,0.351,0.545,0.167,0.307,0.609,0.969,0.057,22.0,0.415,0.341,1.0,0.0,
2023-24,22,2TM,NBA,PF,65.0,13.0,1177.0,0.403,12.2,0.599,0.291,0.247,0.049,0.012,0.401,0.478,0.639,0.356,0.25,0.0,0.293,0.598,0.979,0.042,12.0,0.311,0.373,1.0,0.0,
2023-24,22,MEM,NBA,PF,48.0,13.0,1114.0,0.402,12.8,0.596,0.288,0.249,0.047,0.013,0.404,0.47,0.622,0.354,0.278,0.0,0.301,0.593,0.979,0.044,12.0,0.301,0.383,1.0,0.0,
2023-24,22,PHO,NBA,PF,17.0,0.0,63.0,0.435,11.5,0.652,0.348,0.217,0.087,0.0,0.348,0.6,0.875,0.4,0.0,,0.125,0.667,1.0,0.0,0.0,0.5,0.25,0.0,0.0,
2024-25,23,3TM,NBA,PF,33.0,3.0,410.0,0.456,16.3,0.512,0.216,0.264,0.032,0.0,0.488,0.594,0.667,0.545,0.5,,0.311,0.737,0.842,0.016,2.0,0.262,0.438,0.0,0.0,
2024-25,23,ATL,NBA,PF,27.0,3.0,346.0,0.473,14.3,0.538,0.247,0.269,0.022,0.0,0.462,0.56,0.609,0.52,0.5,,0.372,0.893,0.875,0.022,2.0,0.302,0.538,0.0,0.0,
2024-25,23,PHI,NBA,PF,3.0,0.0,29.0,0.421,16.9,0.421,0.211,0.158,0.053,0.0,0.579,0.75,1.0,0.333,1.0,,0.182,0.333,0.5,0.0,0.0,0.182,0.0,0.0,0.0,
2024-25,23,HOU,NBA,PF,3.0,0.0,35.0,0.385,17.7,0.462,0.0,0.385,0.077,0.0,0.538,0.667,,0.8,0.0,,0.143,0.25,1.0,0.0,0.0,0.143,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,168.0,20.0,2845.0,0.421,14.6,0.542,0.273,0.221,0.037,0.012,0.458,0.522,0.673,0.384,0.371,0.091,0.302,0.622,0.955,0.045,36.0,0.355,0.361,2.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,10.0,1389.0,0.421,14.6,0.542,0.273,0.221,0.037,0.012,0.458,0.522,0.673,0.384,0.371,0.091,0.302,0.622,0.955,0.045,18.0,0.355,0.361,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,118.0,17.0,2372.0,0.416,13.7,0.543,0.279,0.215,0.036,0.014,0.457,0.509,0.667,0.353,0.379,0.091,0.304,0.601,0.973,0.051,34.0,0.367,0.356,2.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,27.0,3.0,346.0,0.473,14.3,0.538,0.247,0.269,0.022,0.0,0.462,0.56,0.609,0.52,0.5,,0.372,0.893,0.875,0.022,2.0,0.302,0.538,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,17.0,0.0,63.0,0.435,11.5,0.652,0.348,0.217,0.087,0.0,0.348,0.6,0.875,0.4,0.0,,0.125,0.667,1.0,0.0,0.0,0.5,0.25,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,0.0,35.0,0.385,17.7,0.462,0.0,0.385,0.077,0.0,0.538,0.667,,0.8,0.0,,0.143,0.25,1.0,0.0,0.0,0.143,0.0,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,3.0,0.0,29.0,0.421,16.9,0.421,0.211,0.158,0.053,0.0,0.579,0.75,1.0,0.333,1.0,,0.182,0.333,0.5,0.0,0.0,0.182,0.0,0.0,0.0,
